No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,"Associations ",Redshift-independent Distances,Classifications,Images,Spectra
37,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J155054.75+340459.1</a>",237.728042,34.083194,G,15855.354566,0.052888,SLS,22,,59,10,6,6,,,,1,1
38,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MCG +11-22-005</a>",267.449500,68.400417,G,15649.166517,0.052200,SUN,9,,33,6,3,3,1,,,2,
39,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 1750+683B</a>",267.476792,68.407139,G,15356.868661,0.051225,SUN,37,,49,17,8,3,1,,,2,
40,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 105-IG 031</a>",303.739945,-66.284358,GGroup,,,,1,1,,3,,1,,,2,,
41,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 236-IG 023</a>",323.876250,-49.937889,G,16323.099753,0.054448,SLS,3,1,19,5,3,10,,,2,2,2
42,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 600- G 010</a>",326.170125,-20.059806,G,10343.439386,0.034502,S1L,19,2,42,13,7,5,,,3,1,1
43,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 145- G 020</a>",327.695667,-61.764139,G,15489.077135,0.051666,SUN,17,,44,14,7,14,,1,2,3,1
44,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 2206+175A</a>",332.256209,17.821263,G,13656.146047,0.045552,S1L,12,,39,7,5,2,,,5,1,2
45,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 2206+175B</a>",332.260667,17.838639,G,13514.043882,0.045078,SUN,18,1,36,10,10,2,,,1,1,1
46,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 533- G 010</a>",334.529083,-25.688806,G,2735.905972,0.009126,SUN,20,1,31,9,9,14,,,10,2,4
47,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 533- G 011</a>",334.663833,-24.171000,G,9953.109606,0.033200,SUN,10,1,40,10,4,14,,,2,3,1
48,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 239-IG 013</a>",347.478036,-48.576857,GGroup,,,,5,1,4,5,,1,,,2,1,
49,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MCG +03-60-033</a>",357.840833,20.573972,G,5506.887781,0.018369,UUN,8,,22,5,2,1,1,,2,,
50,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MRK 0331</a>",357.861677,20.586075,G,5437.036018,0.018136,S1L,256,8,221,48,34,6,,3,15,27,11
51,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MCG +02-01-010</a>",0.312375,13.112556,G,5589.930172,0.018646,SUN,40,,50,9,4,3,,,1,1,1
52,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MCG +02-01-013</a>",0.372917,13.097500,GPair,,,,8,,13,4,,1,,,,,
53,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 7803</a>",0.333208,13.111250,G,5326.112809,0.017766,S1L,115,1,81,25,21,6,2,,13,3,3
54,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MRK 0934</a>",0.358500,13.113000,G,5255.961374,0.017532,SUN,63,,56,18,11,6,,,2,1,1
55,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">IC 0813</a>",191.299335,23.036127,G,6974.071950,0.023263,SUN,55,1,51,15,14,9,,3,10,1,2
56,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">[HB89] 2152-211</a>",328.853370,-20.885916,QSO,113921.132541,0.380000,SUN,11,,18,4,2,,1,,1,,
57,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">HCG 100</a>",0.336531,13.132551,GGroup,5336.305752,0.017800,SUN,42,1,1,4,3,,,,,4,
58,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">FCCB 0078</a>",50.266083,-33.901972,G,21435.160747,0.071500,SUN,5,,30,8,4,2,,,1,1,1
59,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">FCCB 0081</a>",50.281280,-33.905470,G,20947.098625,0.069872,SUN,8,,6,5,2,,3,,2,,
60,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">FAIRALL 1053</a>",357.530667,-47.190917,G,1200.069209,0.004003,SUN,10,,34,10,5,2,,,1,1,
61,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J131847.63+333152.0</a>",199.698457,33.531041,G,31223.378505,0.104150,SLS,19,,49,7,4,6,,,,1,1
62,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 1316+338A</a>",199.718121,33.540193,G,11267.710027,0.037585,SLS,20,,37,12,10,4,,,,,2
63,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">KUG 1316+338B</a>",199.729863,33.550616,G,,,,7,,31,5,,4,,,,,
64,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MFGC 10821</a>",202.027917,31.931833,G,4719.290004,0.015742,SLS,23,,46,12,6,6,,,,1,1
65,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J163943.60+393231.1</a>",249.931990,39.541889,G,8968.890936,0.029917,SUN,13,,33,5,3,4,,,,,
66,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J010723.37-324944.5</a>",16.847458,-32.829028,G,10735.867594,0.035811,SUN,26,,40,11,8,2,,,,1,
67,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">LCRS B021239.1-415253</a>",33.667635,-41.648406,G,,,,3,,29,7,,,,,,,
68,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J025509.82-213538.0</a>",43.790954,-21.593860,G,8213.114179,0.027396,SLS,12,,34,10,5,2,,,1,1,1
69,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">AM 0339-484</a>",55.151125,-48.624417,G,18434.238242,0.061490,PUN,5,,37,8,1,2,,,1,2,
70,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J034543.14-121745.6</a>",56.429511,-12.295988,G,9209.024725,0.030718,SLS,7,,37,7,4,2,,,,1,1
