_RAJ2000,_DEJ2000,Group,RAJ2000_1,DEJ2000_1,zUV,nUV,ngal,nz,mz,r{theta},Rij,sigmalos,Simbad,RA,DEC,NAME,STATUS,Separation_1,Groups,RAJ2000_2,DEJ2000_2,J2000,Separation
97.2095833,-69.6947222,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 72,06 28 50.30,-69 41 41.0,0.03368,4,4,1,1,1.096,,,Simbad,97.2095833,-69.6947222,72,666,0.0,SFCG72,06 28 50.30,-69 41 41.0,J2000,0.0
161.7975,-2.3365833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 93,10 47 11.40,-02 20 11.7,0.036855,4,3,3,2,1.3,,,Simbad,161.7975,-2.3365833,93,666,0.0,SFCG93,10 47 11.40,-02 20 11.7,J2000,0.0
210.4530417,-3.1814444,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=149,14 01 48.73,-03 10 53.2,0.067788,4,4,3,3,1.519,198.36,42.47,Simbad,210.4530417,-3.1814444,149,666,0.0,SFCG149,14 01 48.73,-03 10 53.2,J2000,0.0
314.48475,-24.9644167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=186,20 57 56.34,-24 57 51.9,0.094365,4,3,1,1,1.032,,,Simbad,314.48475,-24.9644167,186,666,0.0,SFCG186,20 57 56.34,-24 57 51.9,J2000,0.0
314.67075,-48.5573889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=187,20 58 40.98,-48 33 26.6,,4,3,0,0,0.953,,,Simbad,314.67075,-48.5573889,187,666,0.0,SFCG187,20 58 40.98,-48 33 26.6,J2000,0.0
319.3525,-35.9165556,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=189,21 17 24.60,-35 54 59.6,0.029797,4,4,1,1,0.789,,,Simbad,319.3525,-35.9165556,189,666,0.0,SFCG189,21 17 24.60,-35 54 59.6,J2000,0.0
319.51275,-50.7521944,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=190,21 18 03.06,-50 45 07.9,0.073594,4,3,1,1,1.123,,,Simbad,319.51275,-50.7521944,190,666,0.0,SFCG190,21 18 03.06,-50 45 07.9,J2000,0.0
322.31275,-31.0285,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=191,21 29 15.06,-31 01 42.6,,4,4,0,0,0.8,,,Simbad,322.31275,-31.0285,191,666,0.0,SFCG191,21 29 15.06,-31 01 42.6,J2000,0.0
330.18975,-42.8210556,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=194,22 00 45.54,-42 49 15.8,0.067693,4,4,1,1,0.902,,,Simbad,330.18975,-42.8210556,194,666,0.0,SFCG194,22 00 45.54,-42 49 15.8,J2000,0.0
334.5145,-25.6858889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=198,22 18 03.48,-25 41 09.2,0.009126,4,4,4,1,1.362,,,Simbad,334.5145,-25.6858889,198,666,0.0,SFCG198,22 18 03.48,-25 41 09.2,J2000,0.0
334.67125,-24.1791944,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=199,22 18 41.10,-24 10 45.1,0.0332,4,4,3,2,1.201,,,Simbad,334.67125,-24.1791944,199,666,0.0,SFCG199,22 18 41.10,-24 10 45.1,J2000,0.0
336.3725,-27.7033611,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=202,22 25 29.40,-27 42 12.1,0.0509,4,4,3,2,0.719,,,Simbad,336.3725,-27.7033611,202,666,0.0,SFCG202,22 25 29.40,-27 42 12.1,J2000,0.0
338.08475,-25.4391667,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=204,22 32 20.34,-25 26 21.0,0.0363,4,4,3,1,1.469,,,Simbad,338.08475,-25.4391667,204,666,0.0,SFCG204,22 32 20.34,-25 26 21.0,J2000,0.0
340.79825,-34.6319722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=208,22 43 11.58,-34 37 55.1,0.069,4,4,3,3,1.328,109.95,165.69,Simbad,340.79825,-34.6319722,208,666,0.0,SFCG208,22 43 11.58,-34 37 55.1,J2000,0.0
343.2135,-24.9685833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=209,22 52 51.24,-24 58 06.9,0.0744,4,3,3,2,1.358,,,Simbad,343.2135,-24.9685833,209,666,0.0,SFCG209,22 52 51.24,-24 58 06.9,J2000,0.0
343.97125,-55.6086111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=211,22 55 53.10,-55 36 31.0,,4,3,0,0,1.289,,,Simbad,343.97125,-55.6086111,211,666,0.0,SFCG211,22 55 53.10,-55 36 31.0,J2000,0.0
352.37475,-32.4328056,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=215,23 29 29.94,-32 25 58.1,0.12445,4,4,4,4,1.245,186.45,196.9,Simbad,352.37475,-32.4328056,215,666,0.0,SFCG215,23 29 29.94,-32 25 58.1,J2000,0.0
352.546,-44.1920556,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=216,23 30 11.04,-44 11 31.4,0.100413,4,3,1,1,1.032,,,Simbad,352.546,-44.1920556,216,666,0.0,SFCG216,23 30 11.04,-44 11 31.4,J2000,0.0
355.90125,-22.454,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=221,23 43 36.30,-22 27 14.4,,4,3,0,0,1.153,,,Simbad,355.90125,-22.454,221,666,0.0,SFCG221,23 43 36.30,-22 27 14.4,J2000,0.0
356.093,-26.0326389,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=222,23 44 22.32,-26 01 57.5,0.065076,4,4,4,3,1.204,103.08,124.39,Simbad,356.093,-26.0326389,222,666,0.0,SFCG222,23 44 22.32,-26 01 57.5,J2000,0.0
6.3470833,-21.6475278,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=228,00 25 23.30,-21 38 51.1,,5,5,0,0,1.384,,,Simbad,6.3470833,-21.6475278,228,666,0.0,SFCG228,00 25 23.30,-21 38 51.1,J2000,0.0
27.481875,-27.81825,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=230,01 49 55.65,-27 49 05.7,0.088395,5,4,3,2,0.838,,,Simbad,27.481875,-27.81825,230,666,0.0,SFCG230,01 49 55.65,-27 49 05.7,J2000,0.0
66.4151667,-64.4605,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=234,04 25 39.64,-64 27 37.8,,5,4,0,0,1.159,,,Simbad,66.4151667,-64.4605,234,666,0.0,SFCG234,04 25 39.64,-64 27 37.8,J2000,0.0
66.7409167,-49.1194167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=235,04 26 57.82,-49 07 09.9,0.05828,5,5,1,1,0.953,,,Simbad,66.7409167,-49.1194167,235,666,0.0,SFCG235,04 26 57.82,-49 07 09.9,J2000,0.0
69.2939167,-46.6888333,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=236,04 37 10.54,-46 41 19.8,,5,4,0,0,1.276,,,Simbad,69.2939167,-46.6888333,236,666,0.0,SFCG236,04 37 10.54,-46 41 19.8,J2000,0.0
71.5085833,-62.4041389,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=237,04 46 02.06,-62 24 14.9,0.026321,5,3,1,1,1.569,,,Simbad,71.5085833,-62.4041389,237,666,0.0,SFCG237,04 46 02.06,-62 24 14.9,J2000,0.0
349.18325,-41.6555833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=264,23 16 43.98,-41 39 20.1,,5,4,0,0,1.304,,,Simbad,349.18325,-41.6555833,264,666,0.0,SFCG264,23 16 43.98,-41 39 20.1,J2000,0.0
24.8080417,-74.4229167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=267,01 39 13.93,-74 25 22.5,,6,3,0,0,1.023,,,Simbad,24.8080417,-74.4229167,267,666,0.0,SFCG267,01 39 13.93,-74 25 22.5,J2000,0.0
38.574625,-73.7201111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=268,02 34 17.91,-73 43 12.4,,6,3,0,0,1.339,,,Simbad,38.574625,-73.7201111,268,666,0.0,SFCG268,02 34 17.91,-73 43 12.4,J2000,0.0
50.254375,-33.90475,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=269,03 21 01.05,-33 54 17.1,0.070421,6,5,4,3,1.144,179.78,224.71,Simbad,50.254375,-33.90475,269,666,0.0,SFCG269,03 21 01.05,-33 54 17.1,J2000,0.0
61.54575,-36.9300833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=270,04 06 10.98,-36 55 48.3,,6,4,0,0,0.995,,,Simbad,61.54575,-36.9300833,270,666,0.0,SFCG270,04 06 10.98,-36 55 48.3,J2000,0.0
72.387375,-73.06925,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=271,04 49 32.97,-73 04 09.3,0.027543,6,3,2,2,1.263,,,Simbad,72.387375,-73.06925,271,666,0.0,SFCG271,04 49 32.97,-73 04 09.3,J2000,0.0
31.2625833,-74.8638889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group=277,02 05 03.02,-74 51 50.0,,7,3,0,0,1.597,,,Simbad,31.2625833,-74.8638889,277,666,0.0,SFCG277,02 05 03.02,-74 51 50.0,J2000,0.0
