Group,Name,zNED,Dsep,<zgal>,ngz,NED
203,,,,,0,NED
204,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     204,0.035,2.09,0.032159,1,NED
205,,,,0.055378,2,NED
206,,,,,0,NED
207,,,,0.101173,1,NED
208,,,,0.069267,3,NED
209,,,,0.074301,2,NED
210,,,,0.032299,1,NED
211,,,,,0,NED
212,,,,,0,NED
213,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     213,,1.381,0.071486,1,NED
214,,,,0.050175,1,NED
215,,,,0.12465,4,NED
216,,,,0.100413,1,NED
217,,,,0.078107,1,NED
218,,,,,0,NED
219,,,,0.151401,1,NED
220,,,,,0,NED
221,,,,,0,NED
222,,,,0.06525,3,NED
223,,,,0.004003,1,NED
224,,,,0.018155,5,NED
225,,,,,0,NED
226,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     226,,1.983,,0,NED
227,,,,0.055448,1,NED
228,,,,,0,NED
229,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     229,,2.189,,0,NED
230,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     230,,0.696,0.08857,2,NED
231,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     231,0.7,2.289,0.043633,1,NED
232,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     232,,0.167,0.027396,1,NED
233,,,,,0,NED
234,,,,,0,NED
235,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     235,,0.847,0.05828,1,NED
236,,,,,0,NED
237,,,,0.026483,2,NED
238,,,,,0,NED
239,,,,,0,NED
240,,,,0.051659,4,NED
241,,,,0.042797,4,NED
242,,,,0.040817,7,NED
243,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     243,0.017,0.944,0.017068,2,NED
244,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     244,,2.192,0.051287,2,NED
245,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     245,0.026395,1.973,0.027282,12,NED
246,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     246,,2.313,0.023024,2,NED
247,,,,0.101007,2,NED
248,,,,0.023977,4,NED
249,,,,0.062974,1,NED
250,,,,0.566457,3,NED
251,,,,0.050303,3,NED
252,,,,0.01451,1,NED
253,,,,0.015217,1,NED
254,,,,,0,NED
255,,,,0.190402,1,NED
256,,,,0.13959,2,NED
257,,,,0.052767,4,NED
258,,,,0.063019,4,NED
259,,,,,0,NED
260,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     260,,2.268,,0,NED
261,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     261,0.0508,1.28,0.051305,4,NED
262,,,,0.046689,1,NED
263,,,,0.054925,2,NED
264,,,,,0,NED
265,,,,,0,NED
266,,,,0.031292,1,NED
267,,,,,0,NED
268,,,,,0,NED
269,,,,0.070553,4,NED
270,,,,,0,NED
271,,,,0.027542,2,NED
272,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     272,0.015938,1.032,0.01602,3,NED
273,,,,0.068902,6,NED
274,,,,0.045355,2,NED
275,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     275,0.085,0.129,0.084702,4,NED
276,,,,0.066956,2,NED
277,,,,,0,NED
278,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     278,,1.957,9.07E-4,1,NED
279,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/MNRAS/453/1965/table10&recno=     279,0.4347,0.579,0.433671,3,NED
280,,,,0.039417,1,NED
