RA,DEC,NAME
128.680125,15.7845556,74
129.7189583,1.4,75
134.3137917,39.2606667,76
137.1685417,30.8873056,77
139.939,55.5796111,78
143.03725,15.9977222,79
145.443875,37.1126389,80
146.138875,28.5391667,81
151.7129583,53.4379167,82
152.0339167,42.9464167,83
152.654375,64.2138333,84
153.2542083,17.0413611,85
154.6159167,49.8503056,86
155.6260417,36.58575,87
155.9442917,33.4133889,88
157.026625,31.216,89
160.1052083,24.2295556,90
161.0794167,2.7973333,91
161.5885833,43.024,92
161.7975,-2.3365833,93
163.0066667,45.5996111,94
164.8655833,4.4446111,95
165.2894583,16.7451944,96
167.52375,-1.01125,97
168.001,29.4170278,98
168.433625,39.3359167,99
169.5151667,30.5349722,100
169.9204167,-6.509,101
170.5192083,42.8034722,102
170.6806667,46.8744167,103
171.9639167,-0.4691111,104
172.9442083,15.4056111,105
173.856125,54.9633889,106
174.1665417,21.6947222,107
174.257125,12.4555833,108
174.7291667,3.5858056,109
178.3621667,58.1245278,110
178.4711667,51.037,111
179.06975,25.3738333,112
179.1885,22.5009167,113
182.5339583,44.6643056,114
183.445125,42.7674722,115
183.7869167,41.27375,116
184.4374583,20.74375,117
184.9315,65.1046389,118
186.9739167,36.3610278,119
187.3144167,38.9423611,120
188.4127083,19.8657222,121
190.3262083,18.3067222,122
190.362375,52.8048333,123
191.2678333,35.6455,124
191.297875,23.0356389,125
195.7327917,5.5228889,126
196.2650417,40.7613611,127
196.744625,40.0268333,128
197.192875,28.8849722,129
197.4750417,30.4240278,130
198.0149167,59.8304722,131
198.272625,12.6891111,132
198.451625,6.97325,133
198.573875,17.2259444,134
198.67675,21.8040556,135
199.72225,33.5453889,136
200.2055,34.1974722,137
202.0185833,31.9395833,138
202.490125,9.4221667,139
203.32775,11.0959444,140
203.68975,33.8934722,141
203.8754167,80.5178056,142
204.8755417,4.5108889,143
206.3775,18.2231389,144
206.85125,-30.4259444,145
206.8652083,32.5175,146
207.3410417,21.6881389,147
208.8416667,6.5582222,148
210.4530417,-3.1814444,149
210.57925,54.4900833,150
210.9809583,26.3733056,151
211.1970833,24.1832222,152
211.6895417,47.2800833,153
212.85225,-29.6494722,154
213.2272083,23.3314167,155
215.156625,26.8581944,156
215.5055417,28.8665,157
216.5459167,29.7204444,158
219.2374167,12.1613056,159
219.7087917,9.0435,160
220.7680833,61.3133056,161
222.7092083,21.7483611,162
224.680625,53.8741944,163
226.2723333,8.7248056,164
226.8839167,28.8340833,165
227.270875,61.9424722,166
227.771125,39.4765278,167
228.1649583,26.5730278,168
228.5784167,46.1122778,169
230.173375,30.4668056,170
230.946375,2.6689167,171
232.7852917,3.8301111,172
235.7978333,53.2264444,173
236.4512083,44.2590278,174
237.7314583,34.0965556,175
238.3765833,20.9671667,176
238.6680833,30.1247778,177
241.1669167,26.6237222,178
244.193625,56.3481111,179
244.4440833,41.8928056,180
245.8170833,15.8041667,181
249.9190417,39.5278611,182
261.6569583,32.2238611,183
303.7435,-66.2854722,184
312.4865,-48.9050278,185
314.48475,-24.9644167,186
314.67075,-48.5573889,187
314.86375,-60.6632222,188
319.3525,-35.9165556,189
319.51275,-50.7521944,190
322.31275,-31.0285,191
326.1695,-20.0708889,192
327.70325,-61.7411667,193
330.18975,-42.8210556,194
330.62375,-22.8943333,195
332.132,-57.2888333,196
332.2606667,17.8313333,197
334.5145,-25.6858889,198
334.67125,-24.1791944,199
335.2065,-69.7766667,200
335.604,-61.2837222,201
336.3725,-27.7033611,202
336.5065,-11.1270556,203
338.08475,-25.4391667,204
338.29575,-60.9226667,205
339.958,-47.4905278,206
340.1345,-38.36875,207
340.79825,-34.6319722,208
343.2135,-24.9685833,209
343.5445,-18.1571111,210
343.97125,-55.6086111,211
345.3735,-20.0430278,212
347.446,-48.5678889,213
351.915,-47.0478333,214
352.37475,-32.4328056,215
352.546,-44.1920556,216
353.17325,-13.2091389,217
353.7625,-47.9746111,218
354.88475,-38.6698333,219
355.72325,-13.0584722,220
355.90125,-22.454,221
356.093,-26.0326389,222
357.5285,-47.1721389,223
357.8327917,20.5785278,224
358.7685,-50.0628611,225
359.8595,-20.3931111,226
4.2522917,-51.0608611,227
6.3470833,-21.6475278,228
26.580375,-7.3314722,229
27.481875,-27.81825,230
36.8229167,-3.8869167,231
43.7880833,-21.5945556,232
57.5072083,-15.3018056,233
66.4151667,-64.4605,234
66.7409167,-49.1194167,235
69.2939167,-46.6888333,236
71.5085833,-62.4041389,237
75.3168333,-18.1895833,238
80.7070417,-31.9501944,239
135.2590833,45.4613611,240
142.0176667,26.5060556,241
144.133125,59.4019722,242
146.8809583,30.4039444,243
149.917875,13.7074444,244
176.2140417,19.7873056,245
178.45425,21.22675,246
182.1747083,41.0981667,247
