_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad
20.3890833,-38.0723056,29,1,01 21 33.38,-38 04 20.3,0.0,,20.2038,19.5477,Simbad
20.4130833,-38.1025,29,2,01 21 39.14,-38 06 09.0,0.0,,20.2375,20.3543,Simbad
20.4165,-38.0781111,29,3,01 21 39.96,-38 04 41.2,0.115156,,20.2055,19.4848,Simbad
20.4342083,-38.0613056,29,4,01 21 44.21,-38 03 40.7,0.114883,,19.8384,19.148,Simbad
21.1457083,-8.1984444,30,1,01 24 34.97,-08 11 54.4,0.0,,19.6688,18.9336,Simbad
21.15675,-8.1736389,30,2,01 24 37.62,-08 10 25.1,0.0,,20.0423,19.2942,Simbad
21.1655833,-8.1956389,30,3,01 24 39.74,-08 11 44.3,0.0,,19.0299,18.9621,Simbad
21.1747917,-8.1812222,30,4,01 24 41.95,-08 10 52.4,0.0,,19.2793,18.5808,Simbad
23.1135833,-54.6348056,31,1,01 32 27.26,-54 38 05.3,0.0,,18.0884,17.6214,Simbad
23.1297917,-54.6381111,31,2,01 32 31.15,-54 38 17.2,0.0,,18.0384,17.8208,Simbad
23.1452917,-54.6413889,31,3,01 32 34.87,-54 38 29.0,0.0,,19.4729,18.9183,Simbad
23.1454167,-54.6231944,31,4,01 32 34.90,-54 37 23.5,0.0,,19.7289,19.3424,Simbad
23.3835833,-69.3123056,32,1,01 33 32.06,-69 18 44.3,0.0,,19.2767,18.9956,Simbad
23.419,-69.31,32,2,01 33 40.56,-69 18 36.0,0.0,,18.9275,18.6567,Simbad
23.4485833,-69.3293889,32,3,01 33 47.66,-69 19 45.8,0.0,,20.0152,19.5624,Simbad
23.4589167,-69.3338889,32,4,01 33 50.14,-69 20 02.0,0.0,,18.8685,18.3972,Simbad
23.908875,-2.0912222,33,1,01 35 38.13,-02 05 28.4,0.0,,19.0575,18.5148,Simbad
23.9091667,-2.0767222,33,2,01 35 38.20,-02 04 36.2,0.0,,18.8412,18.3699,Simbad
23.9135,-2.0957222,33,3,01 35 39.24,-02 05 44.6,0.0,,19.4754,19.1906,Simbad
23.9178333,-2.1136944,33,4,01 35 40.28,-02 06 49.3,0.0,,19.6826,19.1966,Simbad
24.5942083,-40.013,34,1,01 38 22.61,-40 00 46.8,0.0,,20.3523,19.9247,Simbad
24.6135833,-40.0058056,34,2,01 38 27.26,-40 00 20.9,0.068968,,19.1309,18.958,Simbad
24.6359167,-40.0218889,34,3,01 38 32.62,-40 01 18.8,0.0,,19.3654,19.2934,Simbad
24.6550833,-40.0116111,34,4,01 38 37.22,-40 00 41.8,0.025227,,18.0675,17.3774,Simbad
25.558,-54.4121111,35,1,01 42 13.92,-54 24 43.6,0.0,,19.2256,18.3615,Simbad
25.561,-54.4386944,35,2,01 42 14.64,-54 26 19.3,0.060572,,19.7238,19.2651,Simbad
25.5735,-54.4485,35,3,01 42 17.64,-54 26 54.6,0.060805,,19.7422,19.4024,Simbad
25.5830833,-54.4303889,35,4,01 42 19.94,-54 25 49.4,0.0,,20.2936,18.9188,Simbad
26.8894167,-30.2618889,36,1,01 47 33.46,-30 15 42.8,0.0428,,17.3607,17.2249,Simbad
26.895,-30.2676111,36,2,01 47 34.80,-30 16 03.4,0.0425,,19.2358,18.9576,Simbad
26.9049167,-30.2543056,36,3,01 47 37.18,-30 15 15.5,0.0,,19.4921,18.6985,Simbad
26.9132917,-30.2491944,36,4,01 47 39.19,-30 14 57.1,0.0428,,19.8025,19.4564,Simbad
27.0322083,-15.1163889,37,1,01 48 07.73,-15 06 59.0,0.0,,19.5762,19.4927,Simbad
27.0477917,-15.1265,37,2,01 48 11.47,-15 07 35.4,0.0,,20.1471,19.7106,Simbad
27.0587083,-15.1076944,37,3,01 48 14.09,-15 06 27.7,0.0,,20.1954,19.9276,Simbad
27.059,-15.1323889,37,4,01 48 14.16,-15 07 56.6,0.0,,19.8659,19.8355,Simbad
27.1813333,13.6874444,38,1,01 48 43.52,+13 41 14.8,0.044701,,20.0119,19.7959,Simbad
27.18425,13.6996111,38,2,01 48 44.22,+13 41 58.6,0.044567,,18.6938,18.0365,Simbad
27.18925,13.7167778,38,3,01 48 45.42,+13 43 00.4,0.04482,,18.0277,17.7645,Simbad
27.1923333,13.7265278,38,4,01 48 46.16,+13 43 35.5,0.063404,,19.1426,18.6771,Simbad
29.6595,-33.7735,39,1,01 58 38.28,-33 46 24.6,0.157394,,20.2724,20.2398,Simbad
29.6615833,-33.7433889,39,2,01 58 38.78,-33 44 36.2,0.0,,18.8622,18.2111,Simbad
29.665,-33.7556111,39,3,01 58 39.60,-33 45 20.2,0.0,,18.8419,18.7809,Simbad
29.6864167,-33.7571111,39,4,01 58 44.74,-33 45 25.6,0.062604,,19.7446,19.2853,Simbad
30.9485,-31.1603056,40,1,02 03 47.64,-31 09 37.1,0.0,,19.816,19.3727,Simbad
30.9584167,-31.1471111,40,2,02 03 50.02,-31 08 49.6,0.0,,18.7238,18.6343,Simbad
30.9649167,-31.1436944,40,3,02 03 51.58,-31 08 37.3,0.0289,,17.5967,17.2655,Simbad
30.9789167,-31.1556111,40,4,02 03 54.94,-31 09 20.2,0.0665,,19.9221,19.6045,Simbad
33.65,-41.6341111,41,1,02 14 36.00,-41 38 02.8,0.0,,19.871,19.1959,Simbad
33.668,-41.6488056,41,2,02 14 40.32,-41 38 55.7,0.0,,19.7109,19.3282,Simbad
33.6972083,-41.6468056,41,3,02 14 47.33,-41 38 48.5,0.0,,17.8269,17.4373,Simbad
33.7015,-41.6386111,41,4,02 14 48.36,-41 38 19.0,0.0,,20.3353,19.5633,Simbad
35.595,-18.6006944,42,1,02 22 22.80,-18 36 02.5,0.0,,19.8377,19.4909,Simbad
35.6085,-18.6013889,42,2,02 22 26.04,-18 36 05.0,0.0,,19.6556,19.8017,Simbad
35.6224167,-18.6076944,42,3,02 22 29.38,-18 36 27.7,0.0,,19.9343,19.5055,Simbad
35.6310833,-18.602,42,4,02 22 31.46,-18 36 07.2,0.0,,19.9968,19.2693,Simbad
36.2044167,-27.275,43,1,02 24 49.06,-27 16 30.0,0.060526,,19.9078,19.7127,Simbad
36.2087083,-27.288,43,2,02 24 50.09,-27 17 16.8,0.060465,,19.5058,19.0922,Simbad
36.2302083,-27.2663056,43,3,02 24 55.25,-27 15 58.7,0.0,,19.8664,19.5031,Simbad
36.2379167,-27.2901944,43,4,02 24 57.10,-27 17 24.7,0.2141,,19.9624,19.3396,Simbad
37.0047917,-61.0525,44,1,02 28 01.15,-61 03 09.0,0.0,,19.4877,19.0712,Simbad
37.0215,-61.057,44,2,02 28 05.16,-61 03 25.2,0.0,,19.1319,18.7602,Simbad
37.0302917,-61.0595,44,3,02 28 07.27,-61 03 34.2,0.0,,19.998,20.0206,Simbad
37.0465,-61.0638056,44,4,02 28 11.16,-61 03 49.7,0.0,,17.9819,17.8752,Simbad
40.4490833,-20.7986944,45,1,02 41 47.78,-20 47 55.3,0.01016,,17.2533,17.1131,Simbad
40.4549167,-20.8151944,45,2,02 41 49.18,-20 48 54.7,0.025821,,17.1381,16.6727,Simbad
40.4600833,-20.8121944,45,3,02 41 50.42,-20 48 43.9,0.0,,17.9027,17.3259,Simbad
40.4715,-20.8153056,45,4,02 41 53.16,-20 48 55.1,0.0,,20.1531,19.7776,Simbad
41.45575,-5.5735278,46,1,02 45 49.38,-05 34 24.7,0.0,,20.0841,19.5913,Simbad
41.4672917,-5.5646667,46,2,02 45 52.15,-05 33 52.8,0.0,,19.9596,19.666,Simbad
41.470625,-5.5886944,46,3,02 45 52.95,-05 35 19.3,0.0,,17.5032,17.0847,Simbad
41.4837917,-5.5791944,46,4,02 45 56.11,-05 34 45.1,0.0,,20.1724,20.0092,Simbad
43.4315,-41.9773056,47,1,02 53 43.56,-41 58 38.3,0.0,,20.1271,19.9749,Simbad
43.4530833,-41.9665,47,2,02 53 48.74,-41 57 59.4,0.0,,20.0928,20.1872,Simbad
43.4537917,-41.9556944,47,3,02 53 48.91,-41 57 20.5,0.0,,19.7993,19.5954,Simbad
43.4652917,-41.9793889,47,4,02 53 51.67,-41 58 45.8,0.069815,,19.5092,19.0413,Simbad
45.0382083,-36.3808889,48,1,03 00 09.17,-36 22 51.2,0.0,,19.4241,19.5236,Simbad
45.0434167,-36.3586111,48,2,03 00 10.42,-36 21 31.0,0.0958,,19.519,18.9998,Simbad
45.0484167,-36.3516944,48,3,03 00 11.62,-36 21 06.1,0.0,,20.1719,18.9757,Simbad
45.0492917,-36.3561944,48,4,03 00 11.83,-36 21 22.3,0.0917,,17.6607,17.1745,Simbad
46.5429167,-42.6543889,49,1,03 06 10.30,-42 39 15.8,0.0,,20.125,19.3895,Simbad
46.5440833,-42.6673056,49,2,03 06 10.58,-42 40 02.3,0.0,,20.172,19.7835,Simbad
46.5680833,-42.6753889,49,3,03 06 16.34,-42 40 31.4,0.0,,18.832,18.5192,Simbad
46.5760833,-42.6745,49,4,03 06 18.26,-42 40 28.2,0.0,,18.1036,17.7971,Simbad
47.1419167,-47.2601111,50,1,03 08 34.06,-47 15 36.4,0.0,,20.0883,19.7824,Simbad
47.1469167,-47.2798056,50,2,03 08 35.26,-47 16 47.3,0.0,,20.2204,19.529,Simbad
47.1482917,-47.2853889,50,3,03 08 35.59,-47 17 07.4,0.0,,20.2912,19.9233,Simbad
47.1644167,-47.2723889,50,4,03 08 39.46,-47 16 20.6,0.0,,19.695,19.435,Simbad
47.527,-35.007,51,1,03 10 06.48,-35 00 25.2,0.0,,20.2593,20.1742,Simbad
47.5429167,-35.0083056,51,2,03 10 10.30,-35 00 29.9,0.0,,19.0606,18.3702,Simbad
47.5594167,-35.0298889,51,3,03 10 14.26,-35 01 47.6,0.0,,20.2179,19.1848,Simbad
