ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_petro,e_u_petro,SEX_FLAGS_u,J0378_petro,e_J0378_petro,SEX_FLAGS_J0378,J0395_petro,e_J0395_petro,SEX_FLAGS_J0395,J0410_petro,e_J0410_petro,SEX_FLAGS_J0410,J0430_petro,e_J0430_petro,SEX_FLAGS_J0430,g_petro,e_g_petro,SEX_FLAGS_g,J0515_petro,e_J0515_petro,SEX_FLAGS_J0515,r_petro,e_r_petro,SEX_FLAGS_r,J0660_petro,e_J0660_petro,SEX_FLAGS_J0660,i_petro,e_i_petro,SEX_FLAGS_i,J0861_petro,e_J0861_petro,SEX_FLAGS_J0861,z_petro,e_z_petro,SEX_FLAGS_z,zml,odds
"iDR4_3_SPLUS-s22s19_0037384","SPLUS-s22s19",27.45443844035937,-27.814562014815124,6195.396,8332.824,1.7230957,0.41964918,71.70116,1.178786E-4,6.839061E-5,1.4219942,2.0824623,23.455872,1.6520492,0,22.60968,1.2899452,0,99.0,99.0,0,21.588879,0.75581163,0,22.335499,1.4694178,0,24.629005,4.095374,0,22.778801,1.7432588,0,22.385342,0.51844215,0,22.660673,0.7421888,0,22.596502,0.8630558,0,99.0,99.0,0,21.81847,0.78544044,0,0.7665833,0.11246364
"iDR4_3_SPLUS-s22s19_0037484","SPLUS-s22s19",27.425613168640325,-27.81618838721741,6362.264,8321.996,1.4890821,0.32844537,-89.81414,1.0026943E-4,6.7338464E-5,1.0259492,1.5487982,23.788105,1.6876764,0,99.0,99.0,0,99.0,99.0,0,22.35594,1.1515086,0,22.02119,0.8369069,0,22.370579,0.39125335,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,22.378061,0.5366788,0,21.214085,0.43278566,0,24.168816,5.178213,0,0.8473333,0.18246685
"iDR4_3_SPLUS-s22s19_0037509","SPLUS-s22s19",27.467610905978326,-27.803787386430574,6119.1978,8403.424,1.4638225,0.31685704,15.714819,2.4684131E-4,1.6865028E-4,4.503177,8.459227,23.727407,2.4242165,1,21.413338,0.49061075,1,20.846838,0.47485444,1,22.228785,1.5416197,1,21.531294,0.79325527,1,22.117088,0.4593185,1,99.0,99.0,1,21.18217,0.19420409,1,21.616133,0.3221746,1,20.786604,0.18534662,1,20.13381,0.2392831,1,21.013777,0.423169,1,0.76458335,0.06994823
"iDR4_3_SPLUS-s22s19_0037526","SPLUS-s22s19",27.500028876156428,-27.818014898754996,5931.442,8310.432,1.2192814,0.1798448,86.48055,6.668106E-4,5.468944E-4,5.0706797,9.342653,19.549582,0.22676739,0,19.829039,0.50115883,0,20.28624,1.2368308,0,19.05955,0.3641362,0,18.602024,0.2344858,0,18.816282,0.09703745,0,18.385366,0.15219082,0,18.297611,0.0600598,0,18.127613,0.057362992,0,18.039656,0.06477608,0,18.392109,0.21075374,0,18.012506,0.11728544,0,0.08991667,0.63686556
"iDR4_3_SPLUS-s22s19_0037577","SPLUS-s22s19",27.44715434037924,-27.81977285395154,6237.531,8298.673,1.9155886,0.47796726,1.0464635,1.3722693E-4,7.16375E-5,0.8202174,1.1540451,99.0,99.0,0,22.525143,0.7628382,0,25.239986,14.994519,0,99.0,99.0,0,99.0,99.0,0,23.162706,0.67556196,0,99.0,99.0,0,23.655182,1.0550843,0,99.0,99.0,0,22.729277,0.6191384,0,23.483402,2.9052963,0,21.454542,0.35645494,0,0.75058335,0.10932068
"iDR4_3_SPLUS-s22s19_0037595","SPLUS-s22s19",27.454741679859037,-27.821380814120495,6193.5967,8288.191,1.7367135,0.42419982,71.08524,1.1830198E-4,6.809735E-5,1.198362,1.7733866,23.498747,1.5549215,0,21.77938,0.5496906,0,99.0,99.0,0,22.708506,1.9185892,0,22.12123,1.0874287,0,23.613691,1.4567561,0,23.053757,2.0310802,0,23.267471,1.0533376,0,22.806227,0.7675972,0,23.005253,1.135802,0,21.9053,0.97404385,0,21.230207,0.41243637,0,0.747,0.116930634
"iDR4_3_SPLUS-s22s19_0037623","SPLUS-s22s19",27.4689826305918,-27.820323438180687,6111.161,8295.188,1.0605215,0.057067633,5.973267,3.2236584E-4,3.0396375E-4,2.2930136,5.744538,19.405008,0.09386365,0,19.360575,0.15288578,0,19.363737,0.24774617,0,18.900095,0.14729834,0,19.179905,0.18609917,0,19.188904,0.0643454,0,19.061161,0.13233006,0,18.840487,0.046582058,0,18.830395,0.05169562,0,18.563303,0.049108006,0,18.674911,0.12699184,0,18.651432,0.09795652,0,0.27141666,0.11357474
"iDR4_3_SPLUS-s22s19_0037696","SPLUS-s22s19",27.494698887078183,-27.818141913350722,5962.2974,8309.581,1.0504631,0.0480389,-44.609657,1.9032088E-4,1.8117946E-4,1.8393428,2.8209238,99.0,99.0,0,21.767452,1.1169367,0,99.0,99.0,0,22.099192,2.2564578,0,99.0,99.0,0,23.384893,2.443261,0,99.0,99.0,0,99.0,99.0,0,22.019054,0.77515894,0,20.91457,0.34439135,0,20.533274,0.5715596,0,21.092579,0.754299,0,0.7259167,0.10815863
"iDR4_3_SPLUS-s22s19_0037746","SPLUS-s22s19",27.475853440153468,-27.80363048052941,6071.4746,8404.491,1.0222673,0.021782279,-46.449135,7.7165794E-5,7.5485965E-5,1.734545,3.030673,99.0,99.0,0,21.740332,0.6585234,0,22.557617,2.26849,0,24.17476,9.1583805,0,25.719616,36.927197,0,22.83385,0.87787676,0,22.79898,1.9901198,0,22.783482,0.8374813,0,22.258272,0.5767569,0,21.825415,0.47663873,0,21.057518,0.5537678,0,22.188126,1.2369903,0,0.7225,0.19756328
"iDR4_3_SPLUS-s22s19_0037950","SPLUS-s22s19",27.481311180897368,-27.830601177954243,6039.739,8227.971,1.1778597,0.1510024,-1.9161683,1.3633913E-4,1.1574778E-4,2.3989923,4.707955,21.300552,0.34562668,0,21.593597,0.7701237,0,99.0,99.0,0,99.0,99.0,0,22.359468,2.2582743,0,22.621876,0.97104436,0,25.854197,44.50626,0,22.336964,0.74234384,0,21.268112,0.3112895,0,21.360603,0.41518542,0,20.860758,0.61852074,0,21.280424,0.71732974,0,0.72466666,0.13959992
"iDR4_3_SPLUS-s22s19_0038001","SPLUS-s22s19",27.50447493365678,-27.833017613772917,5905.646,8212.242,1.260811,0.20685971,-61.081657,2.5296543E-4,2.0065354E-4,2.5741463,7.063094,23.540478,3.6694176,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,21.705627,1.691657,0,24.735157,9.327086,0,20.477303,0.43308055,0,21.20831,0.36019504,0,20.942085,0.31529203,0,19.921722,0.15166199,0,19.606712,0.2676132,0,19.910894,0.27926427,0,0.59458333,0.4406068
"iDR4_3_SPLUS-s22s19_0038031","SPLUS-s22s19",27.464717458119182,-27.83220933434295,6135.782,8217.364,1.7033113,0.41290826,-38.281315,1.8869294E-4,1.1076648E-4,1.9393672,6.1389046,21.508322,0.4037878,0,21.262897,0.55090815,0,20.72132,0.5448076,0,22.197693,1.9323263,0,21.629757,1.1162488,0,22.440693,0.7974938,0,99.0,99.0,0,22.161228,0.61141324,0,21.465998,0.3611926,0,21.437902,0.4318163,0,20.50401,0.43121365,0,21.742405,1.0624584,0,0.8240833,0.16703945
"iDR4_3_SPLUS-s22s19_0038055","SPLUS-s22s19",27.520232578529622,-27.83516954867233,5814.428,8198.202,1.2520089,0.20128363,-70.24209,2.407826E-4,1.9233124E-4,2.0573325,4.288852,22.37477,0.9740181,0,99.0,99.0,0,99.0,99.0,0,21.233294,0.8584919,0,20.625277,0.48037663,0,23.396175,2.0766973,0,22.638117,2.4061854,0,20.831646,0.19551477,0,20.538559,0.16706263,0,20.10599,0.13754866,0,20.31091,0.39060223,0,19.935131,0.21813563,0,0.44716668,0.34247345
"iDR4_3_SPLUS-s22s19_0038072","SPLUS-s22s19",27.479715503716875,-27.834492687806748,6048.9556,8202.49,1.6234066,0.3840114,-1.6361985,1.2390522E-4,7.6320495E-5,1.3292983,2.2291129,22.856508,0.78034586,0,22.54885,1.005124,0,99.0,99.0,0,99.0,99.0,0,21.461294,0.5392525,0,23.275455,0.9564622,0,23.600538,3.0074024,0,23.42223,1.0911516,0,26.070642,13.903402,0,27.459496,61.43564,0,23.05554,2.516878,0,22.009296,0.7581251,0,0.85333335,0.16300705
"iDR4_3_SPLUS-s22s19_0038087","SPLUS-s22s19",27.500647432418354,-27.838882512252347,5927.7773,8173.8384,1.2538999,0.20248818,68.4144,5.0725305E-4,4.0451693E-4,3.5577805,8.47076,20.046526,0.2700722,3,19.453485,0.26524988,3,20.280313,0.9268482,3,19.344862,0.35664758,3,19.12381,0.28534958,3,18.812809,0.07294892,3,18.280663,0.104193,3,18.200886,0.041507676,3,18.065723,0.04101392,3,17.86959,0.041795228,3,17.835514,0.09498165,3,17.975786,0.0852953,3,0.15066667,0.55092835
"iDR4_3_SPLUS-s22s19_0038094","SPLUS-s22s19",27.497984709976528,-27.832200719847922,5943.2173,8217.566,1.2349489,0.19024986,-15.753857,1.7632837E-4,1.4277073E-4,1.7371167,4.358793,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,21.372223,0.80035067,0,99.0,99.0,16,22.858793,1.044004,0,21.576818,0.7481134,0,22.119053,0.5260226,0,21.472383,0.3247062,0,21.302689,0.3407504,0,19.671846,0.18000068,0,20.230549,0.2368263,0,0.828,0.16022572
"iDR4_3_SPLUS-s22s19_0038101","SPLUS-s22s19",27.48653173695593,-27.836026332912315,6009.4937,8192.48,1.0152305,0.015002012,-43.696693,7.692848E-5,7.5774966E-5,1.2017418,1.8525294,23.5353,1.8685943,0,22.223055,0.95968825,0,99.0,99.0,0,21.520031,0.7504638,0,99.0,99.0,0,22.698568,0.73187584,0,21.824179,0.7651924,0,22.803726,0.7999994,0,23.44913,1.6220208,0,22.258179,0.6658383,0,22.206112,1.4981425,0,22.801632,2.0442648,0,0.79366666,0.152547
"iDR4_3_SPLUS-s22s19_0038115","SPLUS-s22s19",27.46598610901326,-27.83417230071017,6128.4272,8204.521,1.131833,0.11647743,-10.408202,2.561805E-4,2.2632862E-4,1.8812802,4.1943154,20.455992,0.21088974,0,20.219582,0.2897176,0,19.761747,0.30906814,0,20.376976,0.49466687,0,19.668043,0.2529931,0,19.975761,0.1141979,0,19.778172,0.22117783,0,19.754745,0.092552215,0,19.66961,0.09589979,0,19.654797,0.115112446,0,19.495758,0.23352222,0,19.397837,0.1683525,0,0.8843333,0.13997747
