RAJ2000,DEJ2000,W1mag,W2mag,W3mag,W4mag
53.4431370,-30.3343030,14.173,13.991,10.509,8.491
53.4453634,-30.3058802,12.984,12.218,9.848,7.736
53.7912036,-33.4799916,14.639,14.442,10.689,9.022
53.8133254,-33.4672975,17.365,17.044,13.271,8.780
53.8398889,-33.4754577,16.676,16.457,13.116,9.187
54.5224508,-47.4059289,13.850,13.703,10.211,7.945
54.5494053,-47.3855989,14.965,14.776,10.908,8.685
55.1327126,-48.6295077,16.482,16.444,12.686,9.184
55.1358807,-48.6258422,15.213,15.102,11.394,9.372
55.1511697,-48.6243430,13.634,13.421,9.337,7.296
55.6110572,-41.1554149,16.467,16.415,13.202,9.265
55.6113719,-41.1448044,12.797,12.702,9.226,6.961
55.6195422,-41.1698999,14.447,13.176,10.838,8.471
56.4274621,-12.2737255,14.320,14.190,11.800,8.455
56.4297606,-12.2960276,12.920,12.665,8.439,5.830
56.4303888,-12.2629292,14.111,13.915,10.446,8.273
57.7309211,-38.0419652,14.469,14.333,10.512,8.601
57.7416822,-38.0932001,12.637,11.512,9.065,6.946
60.3065906,-65.0050574,14.249,14.165,10.474,8.396
60.3180560,-64.9853248,15.339,15.195,11.648,9.057
60.3232256,-65.0266831,14.584,14.256,10.175,7.682
60.3445400,-65.0147705,14.979,14.773,11.009,9.024
64.1833371,0.2718330,12.445,11.982,7.457,4.798
67.5408522,6.9454026,14.632,14.291,10.124,7.097
67.5454526,6.9441675,13.169,13.088,9.263,6.541
70.5222042,-23.2495950,14.880,14.738,11.474,8.295
70.5405864,-23.2366850,14.753,14.576,10.729,7.783
70.5433009,-23.2502593,12.905,12.750,9.051,7.202
71.0761282,-21.8799253,12.490,11.977,7.279,4.540
71.0836910,-21.8784693,15.412,15.164,11.469,7.721
71.1059768,-21.8647554,14.110,13.865,10.410,8.416
71.1244767,-21.8792595,14.016,13.724,9.676,7.294
73.3447139,-36.2469250,16.535,16.637,12.738,9.222
73.3591518,-36.2675479,15.569,15.077,11.577,8.997
73.3677486,-36.2593037,16.065,16.069,12.578,9.370
76.1190268,-18.6788504,12.427,12.193,8.063,6.220
76.1287296,-18.6953726,16.597,16.536,12.837,9.402
79.1156963,-48.5640276,14.499,14.313,10.795,8.858
79.1495821,-48.5515373,13.975,13.711,9.847,7.983
83.3544298,-27.6814808,15.895,15.822,12.874,9.082
83.3681678,-27.6752976,14.292,13.838,9.777,7.849
83.3945726,-27.6758651,15.612,15.552,12.403,9.216
83.3951145,-27.6630854,14.443,14.207,10.211,7.698
97.1691616,-69.6800327,13.142,12.954,8.687,5.783
97.2228084,-69.6972994,13.165,12.991,8.987,6.880
123.2081774,47.4427398,13.429,13.278,9.474,7.579
123.2100406,47.4161940,17.018,16.457,12.366,8.302
123.2117105,47.4248752,16.345,16.571,12.782,9.110
128.6674068,15.7862861,13.050,12.759,8.792,6.178
128.6838411,15.7910192,14.560,14.213,10.289,7.866
128.7059685,15.7977178,13.897,13.030,9.956,8.247
129.7181907,1.3990787,11.466,10.923,6.425,3.491
129.7312628,1.4128072,16.126,15.898,12.611,8.879
134.3004493,39.2550553,15.456,14.322,12.040,8.423
134.3486402,39.2675276,14.212,14.033,10.748,8.679
137.1614925,30.8893682,14.908,14.793,11.246,8.921
137.1624085,30.8783133,14.699,14.567,10.750,8.519
137.1678286,30.8900785,15.935,16.189,12.326,8.904
137.1822037,30.8914131,13.372,13.261,9.573,7.888
139.9006383,55.5794715,14.096,13.816,9.939,7.730
139.9355670,55.5924022,15.360,15.409,11.862,8.652
139.9482712,55.5682423,15.594,15.297,11.095,8.668
139.9712236,55.5780376,15.388,15.403,12.200,9.091
143.0164613,16.0136630,15.748,15.895,12.287,8.889
143.0318193,15.9981974,14.819,14.582,10.837,8.659
143.0456187,15.9887041,14.896,14.827,11.268,8.471
145.4337595,37.1226768,17.437,16.326,12.452,8.740
145.4555390,37.1134281,13.919,13.690,10.447,8.331
146.1253283,28.5340185,16.493,16.751,12.614,8.941
146.1284114,28.5403297,14.823,14.724,11.494,8.189
151.7116528,53.4371732,14.568,14.351,10.893,9.162
151.7218235,53.4611803,15.548,15.354,12.166,9.093
151.7370039,53.4262847,16.837,17.185,12.919,9.198
152.0065176,42.9578482,15.645,15.578,12.048,8.137
152.0196632,42.9319187,13.445,13.198,9.094,7.273
152.6464573,64.2229504,13.815,13.517,9.251,6.598
152.6525960,64.2118528,14.272,13.510,8.630,5.326
152.6613373,64.2261367,12.495,12.209,7.893,5.513
153.2432961,17.0307922,13.573,13.392,9.560,7.648
153.2551295,17.0342624,10.387,10.063,5.525,3.291
153.2741966,17.0438201,13.504,13.445,10.033,7.629
154.5928911,49.8418462,15.155,14.965,11.655,8.615
154.6164691,49.8453935,13.944,13.555,9.613,7.633
154.6476769,49.8598970,15.317,15.030,10.963,8.831
155.6195972,36.5652883,16.084,15.735,12.082,8.949
155.6250902,36.5992708,11.200,11.245,9.499,7.976
155.6260539,36.5910182,14.785,14.635,10.830,8.725
155.6329149,36.5873858,14.189,14.153,12.284,8.501
155.9373246,33.4140607,14.401,14.042,10.081,7.947
155.9428068,33.4141050,13.896,13.458,9.180,6.762
155.9665090,33.4051834,14.139,13.781,9.628,7.703
157.0206877,31.2304283,15.618,15.246,11.777,8.447
157.0303224,31.2296214,14.305,13.358,10.422,8.080
157.0346150,31.2068640,15.547,15.183,12.022,8.880
160.0996875,24.2368273,15.453,15.285,11.770,8.726
160.1055532,24.2288917,15.046,14.965,12.009,8.446
160.1175666,24.2346569,13.467,13.301,9.705,7.839
161.0694406,2.7877909,12.805,12.783,10.165,8.515
161.0744126,2.8014455,13.729,13.456,9.755,7.860
161.0837626,2.8055102,11.354,10.278,7.168,4.482
161.5820937,43.0348234,15.800,15.978,12.640,9.053
161.5870044,43.0201015,13.109,12.770,8.261,5.880
161.7856740,-2.3588637,12.148,11.969,9.828,7.677
161.7984765,-2.3108906,14.126,13.912,10.156,8.474
161.8018873,-2.3329115,13.642,13.453,9.530,7.697
161.8033713,-2.3437057,15.688,15.319,12.628,9.023
162.9885982,45.6075861,14.812,14.599,11.427,9.222
162.9985745,45.5934556,14.317,14.051,11.126,8.574
163.0087662,45.5906236,16.647,16.157,12.353,8.866
164.8595934,4.4297621,13.900,13.795,10.191,7.853
164.8642451,4.4449268,15.019,15.087,11.127,9.019
164.8664488,4.4509567,15.964,16.412,12.371,8.836
164.8721015,4.4514322,16.642,16.613,12.359,8.535
165.2819551,16.7691331,10.408,10.465,10.354,8.928
165.2900732,16.7524420,16.373,17.070,12.381,8.943
165.3027300,16.7242228,12.995,12.963,9.586,7.566
167.5127990,-1.0055927,13.672,12.981,9.484,7.133
167.5166970,-1.0049265,14.697,14.267,10.013,7.700
167.5261093,-1.0212624,14.728,14.030,9.934,7.139
167.5390851,-1.0134510,13.902,13.554,9.628,7.434
167.9825195,29.4330254,16.015,15.517,11.711,8.991
167.9983635,29.4277284,14.245,14.152,10.856,8.919
168.0022296,29.4059579,14.605,14.547,11.689,8.974
168.0199060,29.4015805,16.047,16.055,12.580,8.891
168.4131494,39.3354512,13.324,13.117,9.662,7.904
168.4285424,39.3336604,15.976,15.908,11.954,8.726
168.4367141,39.3277660,13.413,13.173,9.082,6.442
168.4555458,39.3463137,14.644,14.459,11.019,8.645
169.5033613,30.5405989,14.842,14.685,11.506,8.159
169.5256056,30.5304534,14.331,14.065,10.535,8.662
169.5321865,30.5202151,15.608,15.497,11.556,8.538
169.9182656,-6.5179767,14.709,14.399,10.510,8.079
169.9193060,-6.4995653,14.068,13.809,9.793,7.996
169.9234375,-6.5247868,16.480,16.652,12.491,8.900
170.4996524,42.8019692,16.493,17.376,12.471,8.856
170.5303906,42.7916435,14.647,14.413,10.329,8.475
170.5332866,42.7995912,14.744,14.542,10.734,8.676
170.6734076,46.8752474,15.694,15.628,12.715,8.942
170.6782126,46.8757476,14.428,14.135,9.845,8.308
170.6800632,46.8549854,14.759,14.540,10.800,8.414
170.6911849,46.8907625,15.734,15.659,11.811,8.803
171.9512286,-0.4831875,15.029,14.886,12.559,8.920
171.9601660,-0.4511197,15.682,15.308,11.621,8.968
171.9633780,-0.4701205,12.330,12.232,8.455,6.577
171.9805357,-0.4724930,14.667,14.454,10.799,8.526
172.9370635,15.4089458,13.419,12.991,8.513,6.093
172.9412971,15.4176675,14.517,14.295,10.560,8.503
172.9441423,15.3892096,13.946,13.797,9.977,8.311
172.9538341,15.4068110,13.121,12.807,8.439,5.848
173.8308095,54.9501683,14.707,14.390,10.688,8.846
173.8534709,54.9635047,14.559,14.448,11.071,8.442
173.8595839,54.9596836,13.847,13.672,9.773,7.688
174.1517051,21.6785805,13.287,13.098,8.831,6.391
174.1568635,21.6898702,14.022,13.801,9.639,7.600
174.1677779,21.7001180,15.154,15.007,11.370,8.374
174.1897207,21.7100318,13.624,13.587,10.266,7.993
174.2468443,12.4482691,14.243,13.923,9.779,8.452
174.2546788,12.4570627,13.806,13.423,9.483,7.007
174.2605056,12.4593105,14.369,13.927,9.466,6.969
174.2654686,12.4581666,16.063,15.794,12.234,8.554
174.7288584,3.5809129,11.708,11.624,7.978,5.842
174.7307603,3.6006383,15.017,14.814,12.222,8.666
178.3428637,58.1327856,13.966,13.721,9.999,8.144
178.3505090,58.1318336,14.509,14.248,10.143,7.697
178.3601279,58.1124330,12.902,11.811,7.723,4.855
178.3957816,58.1214297,14.533,14.276,10.185,7.855
178.4515809,51.0118835,14.195,13.977,10.936,8.796
178.4624615,51.0312198,12.851,12.744,9.550,8.185
178.4815392,51.0563087,15.703,15.282,11.837,8.964
178.4896464,51.0478725,13.596,13.160,8.976,6.850
179.0865523,25.3751108,13.677,13.544,10.549,8.524
179.1824621,22.4985032,15.114,14.849,10.795,8.764
179.1850578,22.5040847,15.036,14.753,10.878,8.811
179.1949666,22.4978883,15.652,15.557,12.191,8.984
182.5042453,44.6606470,14.878,14.693,11.926,9.123
182.5348368,44.6519391,17.157,16.085,11.317,7.912
182.5601482,44.6658496,13.687,12.844,9.002,6.010
183.4322422,42.7770349,15.638,15.315,11.464,8.512
183.4431926,42.7791283,15.863,15.634,11.820,9.099
183.4583734,42.7524359,13.958,13.582,9.414,7.569
183.7897239,41.2690292,13.927,13.855,12.228,9.177
183.7916145,41.2884282,15.047,14.762,10.895,8.828
184.4295022,20.7418098,13.808,13.148,8.999,6.865
184.4356414,20.7414751,14.446,14.184,10.456,7.572
184.4397190,20.7373447,14.376,13.821,9.482,6.251
184.4439397,20.7544384,13.152,13.047,10.102,8.601
184.9054186,65.0911819,15.055,14.921,11.775,8.842
184.9179453,65.1227800,15.816,15.559,11.576,9.065
184.9331728,65.1015040,14.672,14.553,10.533,8.734
184.9682384,65.1024753,15.037,14.737,11.202,8.893
186.9570284,36.3491769,14.749,14.732,11.287,8.593
186.9658602,36.3651202,14.961,14.725,11.307,8.598
186.9814066,36.3627746,15.957,15.870,12.630,9.162
187.2916541,38.9308648,13.404,13.349,10.861,8.253
