ID,Field,RA,DEC,Group,Gal,zmemb,u_aper_6,e_u_aper_6,J0378_aper_6,e_J0378_aper_6,J0395_aper_6,e_J0395_aper_6,J0410_aper_6,e_J0410_aper_6,J0430_aper_6,e_J0430_aper_6,g_aper_6,e_g_aper_6,J0515_aper_6,e_J0515_aper_6,r_aper_6,e_r_aper_6,J0660_aper_6,e_J0660_aper_6,i_aper_6,e_i_aper_6,J0861_aper_6,e_J0861_aper_6,z_aper_6,e_z_aper_6,type,zmemb_2
iDR4_3_SPLUS-s31s31_0036459,SPLUS-s31s31,52.93922151312824,-39.61419840599757,54,1,0.10668,19.924264907836918,0.185750350356102,19.542842864990234,0.2064511477947235,19.98090362548828,0.4817622900009155,18.983287811279297,0.2014586180448532,19.221221923828125,0.2429582327604293,18.77936744689941,0.0621564015746116,18.603286743164062,0.1109920591115951,18.419620513916016,0.0213048439472913,18.28093147277832,0.0486231260001659,18.052940368652344,0.0207858923822641,17.975996017456055,0.0591360554099082,17.920663833618164,0.0527256391942501,REX,0.0
iDR4_3_SPLUS-s31s31_0036461,SPLUS-s31s31,52.97198911959929,-39.61398670676687,54,4,0.10668,18.86455535888672,0.0752330422401428,18.90483665466309,0.1199700459837913,18.993976593017575,0.2001374512910843,18.57793617248535,0.141460508108139,18.44325828552246,0.1218904852867126,18.403095245361328,0.0449658595025539,18.51240921020508,0.1035022884607315,18.54383659362793,0.0229992680251598,18.89236068725586,0.0910941585898399,18.74043846130371,0.0354240238666534,19.0427188873291,0.1531528085470199,18.71763801574707,0.1071986034512519,PSF,0.0
iDR4_3_SPLUS-s32s32_0031006,SPLUS-s32s32,55.61949501379386,-41.16990873764891,60,3,0.004923,18.735387802124023,0.042880330234766,18.736194610595703,0.0762183591723442,18.55643081665039,0.1131505146622657,18.5418701171875,0.0931936576962471,18.792097091674805,0.1127502471208572,18.71748733520508,0.0302885305136442,18.69670867919922,0.0775817185640335,18.470104217529297,0.0233732964843511,18.525392532348636,0.0303817279636859,18.538990020751957,0.0355367809534072,18.55167961120605,0.0758148357272148,18.37118911743164,0.056667972356081,PSF,0.0
iDR4_3_SPLUS-s32s32_0045080,SPLUS-s32s32,55.611002962789584,-41.155461325865225,60,1,0.004923,20.2155704498291,0.1420550793409347,20.57300567626953,0.3708273470401764,19.25592994689941,0.205639436841011,19.50588035583496,0.2150467336177826,19.48305892944336,0.2038284838199615,19.271249771118164,0.0467169508337974,19.14193725585937,0.112646535038948,18.95082664489746,0.0341712273657321,18.88269424438477,0.0404520221054554,18.816450119018555,0.0451609343290329,18.78196144104004,0.0925811752676963,18.81733512878418,0.0847980305552482,REX,0.0
iDR4_3_SPLUS-s32s32_0036824,SPLUS-s32s32,55.63246195173227,-41.14958236308743,60,4,0.004923,20.1293888092041,0.1335699260234832,20.509729385375977,0.3537462651729584,19.32673454284668,0.2178374379873275,19.88821220397949,0.3017151951789856,19.185766220092773,0.1574330329895019,19.137664794921875,0.042325098067522,18.937705993652344,0.0948639810085296,18.73353576660156,0.0288907997310161,18.645471572875977,0.0335267558693885,18.413856506347656,0.0320957154035568,18.456600189208984,0.0696630775928497,18.451828002929688,0.0612521767616272,SER,0.0
iDR4_3_SPLUS-s32s32_0042751,SPLUS-s32s32,55.611135624317285,-41.144709295937545,60,2,0.004923,17.39306640625,0.0180330146104097,16.911550521850586,0.0220112763345241,16.855010986328125,0.0314516462385654,16.8167667388916,0.0264646206051111,16.740568161010742,0.0245656706392765,16.628963470458984,0.0087971566244959,16.496713638305664,0.016866561025381,16.28371238708496,0.0064830123446881,15.923100471496582,0.0062625436112284,16.1380672454834,0.0065554035827517,16.053466796875,0.0114129893481731,16.00935935974121,0.0087308399379253,SER,1.0
iDR4_3_SPLUS-s29s35_0005101,SPLUS-s29s35,57.74164551351728,-38.09320297022623,62,4,0.582,17.87544822692871,0.0128657668828964,17.65584945678711,0.0184252467006444,17.633804321289062,0.0279882866889238,17.640438079833984,0.0261627752333879,17.534748077392578,0.0237173251807689,17.589738845825195,0.0091776149347424,17.477617263793945,0.0184965450316667,17.55511474609375,0.0082900747656822,17.62506675720215,0.0101684806868433,17.413665771484375,0.0090019088238477,17.510629653930664,0.0196317490190267,17.585145950317383,0.0166495647281408,PSF,1.0
iDR4_3_SPLUS-s29s35_0005688,SPLUS-s29s35,57.72749185509859,-38.08456247595064,62,1,0.582,19.540637969970703,0.0429346188902854,19.17596435546875,0.0574501566588878,19.204797744750977,0.096457302570343,18.866788864135746,0.0669871568679809,18.52172088623047,0.0500398129224777,18.07976531982422,0.0129340589046478,17.817392349243164,0.0238149687647819,17.357378005981445,0.0076697375625371,17.20477867126465,0.0082073286175727,16.92704200744629,0.0067631304264068,16.757240295410156,0.011677754111588,16.686235427856445,0.0085998913273215,SER,0.0
iDR4_3_SPLUS-s29s35_0006143,SPLUS-s29s35,57.73001941345671,-38.06113764132139,62,2,0.582,20.24773597717285,0.0757666826248169,19.83484649658203,0.0987335070967674,19.7202262878418,0.1489417254924774,19.7312126159668,0.1405434608459472,19.55663681030273,0.1177736595273017,19.59684181213379,0.038107831031084,19.47427749633789,0.0859345942735672,19.414663314819336,0.0322413258254528,19.44701766967773,0.0392908863723278,19.246885299682617,0.0378173142671585,19.356006622314453,0.0926194787025451,19.27247810363769,0.0709958225488662,EXP,0.0
iDR4_3_SPLUS-s29s35_0007044,SPLUS-s29s35,57.73090959566975,-38.04194079233705,62,3,0.582,19.54286193847656,0.0422116704285144,19.198604583740234,0.0573973357677459,18.83189582824707,0.0696916505694389,18.86001968383789,0.0661830082535743,18.525501251220703,0.0493365116417408,18.274065017700195,0.0143981399014592,18.04044342041016,0.0273569393903017,17.70523452758789,0.0092553161084651,17.681516647338867,0.0107337096706032,17.39652442932129,0.0089997807517647,17.256938934326172,0.0163070037961006,17.21238899230957,0.012484848499298,SER,0.0
