RA,DEC,NAME,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,GroupID,GroupSize
336.3725,-27.7033611,202,336.383,-27.7013889,202,3,22 25 31.92,-27 42 05.0,0.186063,,20.0345,19.6874,Simbad,15,4
336.3725,-27.7033611,202,336.384,-27.7081944,202,4,22 25 32.16,-27 42 29.5,0.049985,,17.8568,17.26,Simbad,15,4
336.5065,-11.1270556,203,336.488,-11.1421944,203,1,22 25 57.12,-11 08 31.9,0.0,,20.0578,19.9966,Simbad,16,4
336.5065,-11.1270556,203,336.491,-11.1175,203,2,22 25 57.84,-11 07 03.0,0.0,,19.8194,19.5308,Simbad,16,4
336.5065,-11.1270556,203,336.516,-11.1191111,203,3,22 26 03.84,-11 07 08.8,0.0,,18.5019,18.0989,Simbad,16,4
336.5065,-11.1270556,203,336.531,-11.1293889,203,4,22 26 07.44,-11 07 45.8,0.0,,20.0968,19.8641,Simbad,16,4
338.08475,-25.4391667,204,338.058,-25.4531944,204,1,22 32 13.92,-25 27 11.5,0.0621,,19.0711,18.7746,Simbad,17,4
338.08475,-25.4391667,204,338.078,-25.448,204,2,22 32 18.72,-25 26 52.8,0.0,,19.201,18.8873,Simbad,17,4
338.08475,-25.4391667,204,338.091,-25.4293889,204,3,22 32 21.84,-25 25 45.8,0.032159,,19.5445,18.8831,Simbad,17,4
338.08475,-25.4391667,204,338.112,-25.4261111,204,4,22 32 26.88,-25 25 34.0,0.0363,,19.4009,18.8112,Simbad,17,4
338.29575,-60.9226667,205,338.264,-60.9111111,205,1,22 33 03.36,-60 54 40.0,0.055939,,19.6585,19.4778,Simbad,18,4
338.29575,-60.9226667,205,338.288,-60.925,205,2,22 33 09.12,-60 55 30.0,0.0,,19.32,19.0384,Simbad,18,4
338.29575,-60.9226667,205,338.31,-60.9286944,205,3,22 33 14.40,-60 55 43.3,0.0,,19.9252,19.7844,Simbad,18,4
338.29575,-60.9226667,205,338.321,-60.9258889,205,4,22 33 17.04,-60 55 33.2,0.054818,,19.5333,19.27,Simbad,18,4
340.1345,-38.36875,207,340.124,-38.3548889,207,1,22 40 29.76,-38 21 17.6,0.0,,19.9854,19.2929,Simbad,19,4
340.1345,-38.36875,207,340.13,-38.3545,207,2,22 40 31.20,-38 21 16.2,0.0,,19.559,19.3516,Simbad,19,4
340.1345,-38.36875,207,340.138,-38.3926944,207,3,22 40 33.12,-38 23 33.7,0.101173,,19.6866,19.6702,Simbad,19,4
340.1345,-38.36875,207,340.146,-38.3728889,207,4,22 40 35.04,-38 22 22.4,0.0,,19.9937,20.3893,Simbad,19,4
340.79825,-34.6319722,208,340.788,-34.6578889,208,1,22 43 09.12,-34 39 28.4,0.0,,17.8099,18.1174,Simbad,20,4
340.79825,-34.6319722,208,340.788,-34.636,208,2,22 43 09.12,-34 38 09.6,0.069,,19.7385,19.5586,Simbad,20,4
340.79825,-34.6319722,208,340.807,-34.6123056,208,3,22 43 13.68,-34 36 44.3,0.0699,,19.1337,18.6629,Simbad,20,4
340.79825,-34.6319722,208,340.81,-34.6216944,208,4,22 43 14.40,-34 37 18.1,0.0689,,18.9957,18.7384,Simbad,20,4
343.5445,-18.1571111,210,343.53,-18.1451944,210,1,22 54 07.20,-18 08 42.7,0.0,,19.6201,18.6745,Simbad,21,4
343.5445,-18.1571111,210,343.53,-18.1668889,210,2,22 54 07.20,-18 10 00.8,0.0,,19.5058,19.6169,Simbad,21,4
343.5445,-18.1571111,210,343.547,-18.1595,210,3,22 54 11.28,-18 09 34.2,0.0,,19.6361,19.4685,Simbad,21,4
343.5445,-18.1571111,210,343.571,-18.1568056,210,4,22 54 17.04,-18 09 24.5,0.0323,,19.6701,19.1179,Simbad,21,4
259.1441667,39.0879722,260,259.118375,39.0600833,260,1,17 16 28.41,+39 03 36.3,0.0,,20.0331,19.3654,Simbad,22,5
