Group RA Dec zUV nUV ngal nz mz r_theta_ Rij sigmalos Simbad
190 319.51275 -50.75219444444444 0.073594 4 3 1 1 1.123 0.0 0.0 Simbad
192 326.16949999999997 -20.070888888888888 0.034502 4 3 1 1 1.044 0.0 0.0 Simbad
193 327.7032499999999 -61.741166666666665 0.051666 4 4 1 1 1.112 0.0 0.0 Simbad
194 330.18974999999995 -42.82105555555556 0.067693 4 4 1 1 0.902 0.0 0.0 Simbad
195 330.62375 -22.894333333333332 0.070804 4 4 2 2 1.072 0.0 0.0 Simbad
196 332.13199999999995 -57.28883333333333 0.0342 4 3 1 1 0.714 0.0 0.0 Simbad
197 332.2606666666666 17.831333333333333 0.045318 4 2 2 2 0.916 0.0 0.0 Simbad
198 334.5145 -25.68588888888889 0.009126 4 4 4 1 1.362 0.0 0.0 Simbad
199 334.67124999999993 -24.179194444444445 0.0332 4 4 3 2 1.201 0.0 0.0 Simbad
201 335.6039999999999 -61.283722222222224 0.044191 4 3 1 1 1.055 0.0 0.0 Simbad
202 336.3725 -27.70336111111111 0.0509 4 4 3 2 0.719 0.0 0.0 Simbad
204 338.08475 -25.439166666666665 0.0363 4 4 3 1 1.469 0.0 0.0 Simbad
205 338.29575 -60.922666666666665 0.055379 4 4 2 2 0.874 0.0 0.0 Simbad
207 340.13449999999995 -38.36875 0.101173 4 3 1 1 1.177 0.0 0.0 Simbad
208 340.79824999999994 -34.631972222222224 0.069 4 4 3 3 1.328 109.95 165.69 Simbad
209 343.21349999999995 -24.96858333333333 0.0744 4 3 3 2 1.358 0.0 0.0 Simbad
210 343.5444999999999 -18.15711111111111 0.0323 4 3 1 1 1.231 0.0 0.0 Simbad
213 347.44599999999997 -48.567888888888895 0.078681 4 4 1 1 0.858 0.0 0.0 Simbad
214 351.91499999999996 -47.04783333333333 0.050175 4 3 1 1 1.019 0.0 0.0 Simbad
215 352.37474999999995 -32.432805555555554 0.12445 4 4 4 4 1.245 186.45 196.9 Simbad
216 352.54599999999994 -44.192055555555555 0.100413 4 3 1 1 1.032 0.0 0.0 Simbad
219 354.88474999999994 -38.66983333333333 0.151401 4 4 1 1 0.737 0.0 0.0 Simbad
222 356.09299999999996 -26.032638888888886 0.065076 4 4 4 3 1.204 103.08 124.39 Simbad
223 357.52849999999995 -47.17213888888889 0.004003 4 4 2 1 1.429 0.0 0.0 Simbad
224 357.83279166666665 20.57852777777778 0.018426 4 4 4 3 1.41 31.96 92.87 Simbad
227 4.252291666666666 -51.06086111111111 0.055448 5 5 1 1 1.444 0.0 0.0 Simbad
230 27.481874999999995 -27.81825 0.088395 5 4 3 2 0.838 0.0 0.0 Simbad
231 36.822916666666664 -3.8869166666666666 0.043634 5 3 1 1 1.143 0.0 0.0 Simbad
232 43.788083333333326 -21.594555555555555 0.027396 5 5 1 1 1.155 0.0 0.0 Simbad
235 66.74091666666666 -49.119416666666666 0.05828 5 5 1 1 0.953 0.0 0.0 Simbad
237 71.50858333333332 -62.40413888888889 0.026321 5 3 1 1 1.569 0.0 0.0 Simbad
240 135.25908333333334 45.46136111111112 0.051464 5 4 3 3 1.313 135.66 182.43 Simbad
241 142.01766666666666 26.506055555555555 0.042539 5 3 2 2 0.937 0.0 0.0 Simbad
242 144.13312499999998 59.40197222222222 0.040707 5 5 4 4 1.067 51.48 116.71 Simbad
243 146.8809583333333 30.40394444444444 0.019763 5 5 4 3 1.302 22.72 936.36 Simbad
244 149.91787499999998 13.707444444444445 0.051286 5 3 2 2 0.972 0.0 0.0 Simbad
245 176.21404166666665 19.78730555555556 0.027549 5 4 4 3 1.123 55.21 129.8 Simbad
246 178.45424999999997 21.22675 0.023058 5 5 3 2 1.585 0.0 0.0 Simbad
247 182.1747083333333 41.09816666666667 0.100144 5 4 3 2 1.243 0.0 0.0 Simbad
248 195.02754166666662 33.42672222222222 0.023498 5 3 1 1 1.614 0.0 0.0 Simbad
249 199.88804166666665 14.09152777777778 0.062973 5 4 1 1 1.048 0.0 0.0 Simbad
250 202.9732083333333 37.45722222222223 0.055718 5 4 2 2 1.523 0.0 0.0 Simbad
251 203.04545833333333 -38.88675 0.050331 5 3 3 3 1.139 95.91 456.66 Simbad
253 210.57587499999997 7.686444444444445 0.015217 5 4 2 1 0.984 0.0 0.0 Simbad
