_RAJ2000,_DEJ2000,Group,RAJ2000,DEJ2000,zUV,nUV,ngal,nz,mz,r{theta},Rij,sigmalos,Simbad,NAME
36.2202917,-27.2798889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 43,02 24 52.87,-27 16 47.6,0.060526,4,4,3,2,1.1,,,Simbad,43
37.0257917,-61.0581944,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 44,02 28 06.19,-61 03 29.5,,4,4,0,0,0.579,,,Simbad,44
40.4589167,-20.8103611,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 45,02 41 50.14,-20 48 37.3,0.01016,4,4,2,1,0.714,,,Simbad,45
41.469375,-5.5765278,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 46,02 45 52.65,-05 34 35.5,,4,4,0,0,0.917,,,Simbad,46
43.4509167,-41.9697222,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 47,02 53 48.22,-41 58 11.0,0.069815,4,4,1,1,0.909,,,Simbad,47
45.0448333,-36.3618611,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 48,03 00 10.76,-36 21 42.7,0.09375,4,3,2,2,0.819,,,Simbad,48
46.5577917,-42.6678889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 49,03 06 13.87,-42 40 04.4,,4,3,0,0,0.944,,,Simbad,49
47.150375,-47.2744167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 50,03 08 36.09,-47 16 27.9,,4,3,0,0,0.767,,,Simbad,50
47.5481667,-35.0159444,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 51,03 10 11.56,-35 00 57.4,,4,3,0,0,1.039,,,Simbad,51
50.0976667,-40.1931667,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 52,03 20 23.44,-40 11 35.4,,4,3,0,0,1.338,,,Simbad,52
51.6352083,-42.8299167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 53,03 26 32.45,-42 49 47.7,,4,3,0,0,0.969,,,Simbad,53
52.9541667,-39.6227778,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 54,03 31 49.00,-39 37 22.0,0.10668,4,3,1,1,0.894,,,Simbad,54
53.264125,-47.6635833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 55,03 33 03.39,-47 39 48.9,,4,3,0,0,0.618,,,Simbad,55
53.440625,-30.3148889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 56,03 33 45.75,-30 18 53.6,0.1064,4,4,3,2,0.884,,,Simbad,56
53.8064167,-33.4764722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 57,03 35 13.54,-33 28 35.3,,4,4,0,0,1.343,,,Simbad,57
54.5381667,-47.3976111,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 58,03 38 09.16,-47 23 51.4,,4,4,0,0,0.927,,,Simbad,58
55.1354583,-48.6305556,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 59,03 40 32.51,-48 37 50.0,,4,3,0,0,0.674,,,Simbad,59
55.6182083,-41.1549167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 60,03 42 28.37,-41 09 17.7,0.004923,4,3,1,1,0.793,,,Simbad,60
56.4275833,-12.2838889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 61,03 45 42.62,-12 17 02.0,0.030718,4,3,1,1,1.145,,,Simbad,61
57.732375,-38.0700833,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 62,03 50 55.77,-38 04 12.3,,4,3,0,0,1.431,,,Simbad,62
60.3227083,-65.0079167,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 63,04 01 17.45,-65 00 28.5,,4,4,0,0,1.12,,,Simbad,63
64.178375,0.272,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 64,04 16 42.81,+00 16 19.2,0.03355,4,2,2,2,1.124,,,Simbad,64
67.545,6.9407778,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 65,04 30 10.80,+06 56 26.8,0.014563,4,3,1,1,0.376,,,Simbad,65
70.5397083,-23.2447778,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 66,04 42 09.53,-23 14 41.2,0.067166,4,4,1,1,0.773,,,Simbad,66
71.0974583,-21.8756944,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 67,04 44 23.39,-21 52 32.5,0.075992,4,4,1,1,1.296,,,Simbad,67
73.3631667,-36.2533889,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 68,04 53 27.16,-36 15 12.2,,4,4,0,0,1.046,,,Simbad,68
76.125,-18.6861944,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 69,05 04 30.00,-18 41 10.3,0.079085,4,3,1,1,1.478,,,Simbad,69
79.1239583,-48.5549722,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 70,05 16 29.75,-48 33 17.9,,4,3,0,0,1.001,,,Simbad,70
83.3781667,-27.6739444,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 71,05 33 30.76,-27 40 26.2,,4,4,0,0,1.168,,,Simbad,71
97.2095833,-69.6947222,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 72,06 28 50.30,-69 41 41.0,0.03368,4,4,1,1,1.096,,,Simbad,72
123.2194167,47.42675,http://vizier.u-strasbg.fr/viz-bin/VizieR-4?-info=XML&-out.add=.&-source=J/MNRAS/453/1965&Group= 73,08 12 52.66,+47 25 36.3,0.03947,4,3,1,1,0.997,,,Simbad,73
