ID,Field,RA,DEC,u_auto,e_u_auto,J0378_auto,e_J0378_auto,J0395_auto,e_J0395_auto,J0410_auto,e_J0410_auto,J0430_auto,e_J0430_auto,g_auto,e_g_auto,J0515_auto,e_J0515_auto,r_auto,e_r_auto,J0660_auto,e_J0660_auto,i_auto,e_i_auto,J0861_auto,e_J0861_auto,z_auto,e_z_auto,Group,Gal,zmemb,gmemb
iDR4_3_SPLUS-s29s35_0007044,SPLUS-s29s35,57.73090959566975,-38.04194079233705,19.05620384216309,0.0592529140412807,18.82878875732422,0.0913447886705398,18.367321014404297,0.1032245978713035,18.29960823059082,0.088209643959999,18.01969146728516,0.0669472739100456,17.90019416809082,0.0187443252652883,17.668109893798828,0.0387319549918174,17.336959838867188,0.0114151434972882,17.31792449951172,0.0133774057030677,17.047744750976562,0.0121534438803792,16.953224182128906,0.024759417399764,16.89860725402832,0.0194330383092165,62,3,0.582,
iDR4_3_SPLUS-s20s22_0064389,SPLUS-s20s22,314.4727818059864,-24.962264295475755,18.856019973754883,0.1144766882061958,18.70991325378418,0.1721877604722976,18.454185485839844,0.2292823791503906,18.03654289245605,0.1441382020711898,17.90885353088379,0.1215521991252899,17.555631637573242,0.028969656676054,17.28546714782715,0.0561311952769756,16.948270797729492,0.0205204915255308,16.77115249633789,0.0200351011008024,16.657466888427734,0.0262066237628459,16.518747329711914,0.0484224706888198,16.453840255737305,0.040061630308628,186,1,0.094365,
iDR4_3_SPLUS-s20s22_0063951,SPLUS-s20s22,314.494175461078,-24.96282898768995,19.065149307250977,0.0635050758719444,18.773128509521484,0.0828217267990112,18.664674758911133,0.1250298470258712,18.52557373046875,0.1024114489555358,18.110227584838867,0.0670983642339706,17.86440658569336,0.0185345355421304,17.61165428161621,0.0356610640883445,17.32357406616211,0.0138243017718195,17.224590301513672,0.0145893152803182,16.999267578125,0.0165653470903635,16.887645721435547,0.0309331323951482,16.955780029296875,0.0287001486867666,186,4,0.094365,
iDR4_3_SPLUS-s20s22_0065299,SPLUS-s20s22,314.4822180456084,-24.984532057431263,19.58616828918457,0.0493130162358284,19.72347640991211,0.0916395336389541,19.8117733001709,0.1628024131059646,19.55471420288086,0.117095947265625,19.228466033935547,0.0840702429413795,19.52415657043457,0.0372897647321224,19.45635414123535,0.083957090973854,19.692127227783203,0.050565168261528,19.892742156982425,0.0689965710043907,19.981334686279297,0.1079988256096839,20.25215148925781,0.2920232117176056,20.401275634765625,0.2946382462978363,186,2,0.094365,
iDR4_3_SPLUS-s20s22_0063432,SPLUS-s20s22,314.4895828137078,-24.948032164692712,19.01032257080078,0.0644954964518547,18.81953430175781,0.0926332771778106,18.904165267944336,0.1672577261924743,18.147260665893555,0.0781786888837814,18.181394577026367,0.0769419074058532,17.72466468811035,0.0175909288227558,17.47442626953125,0.0339682102203369,17.07631492614746,0.0120117049664258,16.945159912109375,0.0123732993379235,16.648731231689453,0.0131041165441274,16.49239158630371,0.0234930105507373,16.40753936767578,0.0189008917659521,186,3,0.094365,
iDR4_3_SPLUS-s22s19_0037308,SPLUS-s22s19,27.485685992514604,-27.818795961429235,16.436561584472656,0.0184678863734006,16.149503707885742,0.0239319484680891,15.863348960876465,0.0298622548580169,15.62470817565918,0.0219957735389471,15.406415939331056,0.0178285613656044,15.181732177734377,0.0052097239531576,14.946307182312012,0.0095902141183614,14.55423069000244,0.0030510316137224,14.500144958496094,0.0032989135943353,14.24315071105957,0.0030246025417,14.077454566955566,0.0058349729515612,14.011280059814451,0.0042988010682165,230,3,0.042866,
iDR4_3_SPLUS-s22s19_0036973,SPLUS-s22s19,27.4914087353479,-27.81217297917489,17.510486602783203,0.0442689172923564,17.42014503479004,0.0694202706217765,17.351835250854492,0.1060098260641098,16.798110961914062,0.0584680512547493,16.698162078857422,0.0523569472134113,16.3654842376709,0.0134262992069125,16.126943588256836,0.0249604322016239,15.819113731384276,0.0082202479243278,15.723316192626951,0.0084855165332555,15.492841720581056,0.0082432543858885,15.387584686279297,0.0172882173210382,15.307507514953612,0.0126377465203404,230,4,0.088395,
iDR4_3_SPLUS-s22s19_0037526,SPLUS-s22s19,27.500028876156428,-27.818014898755,19.363847732543945,0.1569534093141555,19.70016098022461,0.3656153678894043,20.537792205810547,1.2723548412322998,19.000226974487305,0.2819006741046905,18.577312469482425,0.1874801367521286,18.6975212097168,0.0713277831673622,18.26582336425781,0.1116340979933738,18.308574676513672,0.0497440062463283,18.13625144958496,0.0474674887955188,18.000070571899414,0.0511561892926692,18.411874771118164,0.1753318160772323,18.0762882232666,0.1016245931386947,230,5,0.088395,
iDR4_3_SPLUS-s22s19_0037623,SPLUS-s22s19,27.4689826305918,-27.820323438180687,19.360092163085938,0.0832109674811363,19.360137939453125,0.140982449054718,19.351715087890625,0.2259936779737472,18.9896240234375,0.1472532600164413,19.19532585144043,0.1740509420633316,19.226642608642575,0.0614977180957794,19.084228515625,0.1246325448155403,18.81104278564453,0.0419182144105434,18.827327728271484,0.0476650781929492,18.592851638793945,0.0465433448553085,18.68206024169922,0.1177080795168876,18.64577865600586,0.0897405594587326,230,2,0.088395,
iDR4_3_SPLUS-s22s19_0037058,SPLUS-s22s19,27.46407841436548,-27.82183067052942,19.382280349731445,0.1383505463600158,19.271717071533203,0.2120434939861297,19.38670921325684,0.3822892010211944,19.22993278503418,0.3021837174892425,18.918554306030277,0.2218961119651794,18.772140502929688,0.0661873966455459,18.751161575317383,0.1504970490932464,18.398571014404297,0.0467337109148502,18.43745231628418,0.0541208088397979,18.213197708129883,0.0538087897002697,18.21095466613769,0.1259342581033706,18.329620361328125,0.1107196807861328,230,1,0.088744,
