RA Dec
345.3734999999999 -20.04302777777778
347.44599999999997 -48.567888888888895
351.91499999999996 -47.04783333333333
352.37474999999995 -32.432805555555554
352.54599999999994 -44.192055555555555
353.17325 -13.209138888888889
353.76249999999993 -47.974611111111116
354.88474999999994 -38.66983333333333
355.72324999999995 -13.058472222222223
355.90124999999995 -22.454
356.09299999999996 -26.032638888888886
357.52849999999995 -47.17213888888889
357.83279166666665 20.57852777777778
358.76849999999996 -50.06286111111111
359.85949999999997 -20.39311111111111
4.252291666666666 -51.06086111111111
6.347083333333333 -21.64752777777778
26.580374999999997 -7.331472222222222
27.481874999999995 -27.81825
36.822916666666664 -3.8869166666666666
43.788083333333326 -21.594555555555555
57.507208333333324 -15.301805555555557
66.41516666666666 -64.4605
66.74091666666666 -49.119416666666666
69.29391666666666 -46.68883333333333
71.50858333333332 -62.40413888888889
75.31683333333332 -18.189583333333335
80.70704166666664 -31.950194444444445
135.25908333333334 45.46136111111112
142.01766666666666 26.506055555555555
144.13312499999998 59.40197222222222
146.8809583333333 30.40394444444444
149.91787499999998 13.707444444444445
176.21404166666665 19.78730555555556
178.45424999999997 21.22675
182.1747083333333 41.09816666666667
195.02754166666662 33.42672222222222
199.88804166666665 14.09152777777778
202.9732083333333 37.45722222222223
203.04545833333333 -38.88675
206.83599999999998 -30.35738888888889
210.57587499999997 7.686444444444445
210.97424999999998 54.18519444444444
211.0419583333333 54.25711111111111
211.851375 12.716
233.2950833333333 12.879555555555555
243.30229166666663 8.54786111111111
249.41891666666663 54.97566666666667
259.14416666666665 39.08797222222223
267.4914583333333 68.40536111111112
321.98474999999996 -46.64275
323.8472499999999 -49.934749999999994
349.18324999999993 -41.65558333333333
359.0346666666666 -17.239250000000002
6.301916666666666 -60.62994444444445
24.808041666666664 -74.42291666666667
38.57462499999999 -73.72011111111111
50.254374999999996 -33.90475
61.545749999999984 -36.93008333333333
72.38737499999999 -73.06925
125.02 21.07136111111111
168.6338333333333 -0.8523055555555555
185.30691666666664 49.45944444444445
230.49587499999998 3.560111111111111
328.86929166666664 -20.86288888888889
31.262583333333335 -74.86388888888888
115.48283333333333 16.825916666666668
196.821 13.649111111111111
349.1871666666666 9.815694444444444
