ra,dec,index,Radii
218.45319814,9.25991294,725,5
219.55228679,3.83642774,735,5
206.01190386,26.10993132,738,5
217.43747894,9.54333864,739,5
353.82987678,14.885909,759,5
137.1197419,17.84957203,775,5
191.28701267,8.98036322,794,5
180.01806243,11.08272752,801,5
156.52418017,16.65587493,803,5
179.27300061,24.14678867,811,5
172.74366512,19.39023436,820,5
170.72860624,29.52563017,822,5
201.45409528,26.98741074,823,5
227.85997889,12.01548134,835,5
228.67623801,13.44445942,839,5
179.76157877,-1.09350964,846,5
170.72722607,19.55093829,849,5
238.66706859,5.48612595,855,5
224.82132439,17.06490731,867,5
148.95630209,16.64193934,881,5
159.11623549,12.56463563,895,5
154.73756362,31.31891218,905,5
166.37420901,26.03113476,922,5
201.62992535,27.27898985,928,5
321.35593748,-6.95890713,930,5
248.71236213,27.17361532,939,5
222.51453839,17.83076877,944,5
158.09597456,-0.66165011,948,5
208.18661169,29.01248244,949,5
157.5173465,6.08316198,951,5
135.61391104,25.60224056,952,5
155.38755521,17.58262735,953,5
206.70062302,23.37402466,963,5
162.88550464,3.12175255,964,5
339.57460452,14.7196224,975,5
162.59207087,32.32741941,976,5
174.72014858,21.80784205,977,5
177.05109864,26.58014354,993,5
164.88592038,10.07487204,996,5
208.26745464,6.33251742,1019,5
176.4344196,-2.91125722,1027,5
175.06189081,20.59917097,1035,5
25.71271774,-9.66802471,1037,5
150.06409745,13.4114688,1041,5
164.60224471,-0.24498642,1042,5
175.48110823,6.03379169,1045,5
183.43209709,25.18253025,1046,5
335.76439669,14.10618254,1054,5
171.07983736,21.53430118,1055,5
192.94381795,7.20058311,1061,5
351.66217697,15.49177872,1069,5
16.72675539,-10.65056164,1071,5
156.1798067,11.08921302,1079,5
22.00042098,-0.96863331,1080,5
244.86377415,9.16304657,1086,5
123.89550324,28.24824554,1088,5
57.7492173,1.08645945,1094,5
186.84324611,30.47605143,1099,5
155.00501891,6.00547181,1108,5
316.38266287,9.21324333,1109,5
