col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,_RAJ2000,_DEJ2000,Group,Gal,RAJ2000,DEJ2000,zmemb,gmemb,FUV,NUV,Simbad,Separation
1237655108917657810,6374434221690194207,958,52410,475,197.98216,59.829971,0.0769,0.17,10.238,0.036,0.192,0.066,0.947,0.147,0.185,0.061,0.125,0.049,0,1,3,2,1,197.98225,59.8301111,131,1,13 11 55.74,+59 49 48.4,0.07696,,19.4814,19.2098,Simbad,0.5299935336736791
1237655108917657987,6374434221690194228,958,52410,469,198.02894,59.83216,0.0768,0.96,9.884,0.057,0.084,0.087,1.001,0.185,0.227,0.082,0.156,0.065,0,1,3,1,1,198.0282083,59.8323056,131,3,13 12 06.77,+59 49 56.3,0.076839,,19.5906,19.4031,Simbad,1.4237328638103035
1237655126087893170,6378797082755466674,4838,55686,440,195.73524,5.517238,0.0693,0.44,10.842,0.063,0.732,0.135,2.943,0.411,1.385,0.165,1.119,0.153,0,1,3,2,0,195.7352917,5.5175278,126,4,13 02 56.47,+05 31 03.1,0.069331,,19.7426,19.3619,Simbad,1.0596006705983223
1237655126087893164,6378797082755466728,849,52439,507,195.732,5.540651,0.0706,0.61,11.041,0.039,0.544,0.121,1.929,0.353,0.742,0.135,0.586,0.117,0,1,3,7,1,195.7322083,5.5409167,126,2,13 02 55.73,+05 32 27.3,0.070755,,18.952,18.4697,Simbad,1.2132634377952065
1237655126087893069,6378797082755466632,849,52439,517,195.734,5.512052,0.0692,0.7,9.755,0.059,0.627,0.048,1.878,0.19,0.422,0.081,0.274,0.063,0,1,3,2,1,195.7341667,5.5120833,126,3,13 02 56.20,+05 30 43.5,0.069217,,19.3182,18.721,Simbad,0.6078798217030148
1237655129296994633,6374997202782127547,616,52442,57,235.78501,53.246212,0.0418,1.86,9.377,0.043,-0.557,0.052,1.305,0.192,0.263,0.069,0.177,0.054,0,1,3,1,1,235.7849583,53.2465833,173,1,15 43 08.39,+53 14 47.7,0.041825,,19.6833,19.5677,Simbad,1.3413115220508365
1237655374647722456,6371267637865877623,817,52381,73,249.91502,39.538503,0.0297,2.45,8.634,0.082,-0.674,0.105,1.859,0.308,0.363,0.149,0.243,0.114,0,1,3,0,1,249.9155,39.53875,182,2,16 39 39.72,+39 32 19.5,0.029789,,19.8951,19.3225,Simbad,1.602051385141653
1237655470210613534,6382772935055114288,2953,54560,444,230.96017,2.672558,0.1128,0.23,10.609,0.056,0.7,0.077,1.971,0.277,0.642,0.15,0.477,0.133,0,1,3,2,1,230.9597917,2.67275,171,3,15 23 50.35,+02 40 21.9,0.112833,,19.9275,20.1796,Simbad,1.5259232645692773
1237655470210613353,6382772935055114243,592,52025,269,230.9617,2.665963,0.1129,0.21,10.341,0.073,0.911,0.08,2.387,0.299,0.467,0.117,0.303,0.088,0,1,3,2,1,230.9615417,2.66575,171,4,15 23 50.77,+02 39 56.7,0.112916,,20.094,19.1757,Simbad,0.9550093702351682
1237655470210613460,6382772935055114267,592,52025,273,230.92198,2.666712,0.0525,0.95,10.968,0.04,0.561,0.069,2.43,0.231,1.254,0.182,1.045,0.171,0,1,3,2,1,230.922375,2.6668611,171,1,15 23 41.37,+02 40 00.7,0.052511,,18.5942,18.0459,Simbad,1.5184919795467517
