group_id,ra,dec
269634,189.39254232,12.79437074
392509,217.34954857,22.91188366
461611,169.28110297,16.36185974
160839,329.85698441,-7.63060193
282801,225.75176331,9.26628042
453742,233.44640947,14.20958119
192311,162.77704486,7.96780873
311580,244.93977327,31.32382847
204533,187.24672709,12.33523292
462861,192.79377262,17.13326452
383149,218.6280314,25.48239677
401640,122.47273376,13.64783238
315883,219.78487511,12.22768085
354546,120.03520556,17.19621144
465311,184.11461473,18.27583725
194437,157.54176072,5.65235258
313132,213.17342216,13.01393045
237052,129.49683104,26.88297666
466312,124.42484012,11.75100408
355865,147.23340328,31.85334223
297784,223.57002489,5.86765176
413155,173.72853575,27.6369231
375832,215.84501154,27.84105826
448129,141.11998216,15.06179467
162452,29.66995696,-0.97373272
364369,225.65959839,27.51535505
391270,234.81344962,21.37370474
442423,172.92534331,19.58270846
52529,200.87101579,-0.75526281
427544,230.17335547,15.75962904
309843,245.96902709,31.16382264
470626,155.17028457,15.41307776
460332,163.94904541,16.56602804
445839,243.18758372,10.83649259
392925,220.43600432,22.74458771
255620,179.20764769,11.31463387
402440,154.23068611,25.57537513
469971,131.87524451,10.33435011
310334,249.68486348,29.37157781
90179,199.70829349,2.04499759
383619,206.71935778,28.43438876
154887,219.01663891,6.3159409
446034,206.02559035,19.05900386
135539,183.53638557,4.16800951
93280,216.26242163,3.16576648
456773,210.03435214,15.25915424
67773,140.31537439,-0.26940706
53961,196.93739447,0.17880386
129041,240.67652878,3.12846248
286728,249.39004175,19.65999419
368963,141.08496332,26.77099305
435612,193.75916065,22.2985076
321567,227.26449213,28.38398905
218621,119.63806582,24.47724205
333872,22.24373922,0.06883205
421872,153.01825998,21.737992
380683,167.47407954,32.10104075
363531,142.92271673,27.75673559
371758,217.99426081,27.52156153
307661,256.50919109,20.29940487
393453,223.07167742,22.29592953
87175,186.09174168,3.29502962
196250,140.61730955,5.64277916
400575,151.40562837,28.60865546
61983,25.74653463,13.39368175
375330,161.96991974,29.58007892
66785,182.38913728,-2.39973209
377398,208.26135799,30.7781454
282713,219.37394508,9.97553217
156368,349.20027602,13.74110123
245848,134.92995427,31.05881738
217706,341.66565013,-0.7430287
456908,221.59100025,13.47683952
283102,220.75482932,10.28775119
305920,255.02521077,18.9398728
469294,139.01230058,11.11183446
65820,180.37764501,-3.69024407
62205,20.99244267,14.10117973
