ID,Field,RA,DEC,X,Y,ELONGATION,ELLIPTICITY,THETA,A,B,FLUX_RADIUS_50,FLUX_RADIUS_90,u_petro,e_u_petro,SEX_FLAGS_u,J0378_petro,e_J0378_petro,SEX_FLAGS_J0378,J0395_petro,e_J0395_petro,SEX_FLAGS_J0395,J0410_petro,e_J0410_petro,SEX_FLAGS_J0410,J0430_petro,e_J0430_petro,SEX_FLAGS_J0430,g_petro,e_g_petro,SEX_FLAGS_g,J0515_petro,e_J0515_petro,SEX_FLAGS_J0515,r_petro,e_r_petro,SEX_FLAGS_r,J0660_petro,e_J0660_petro,SEX_FLAGS_J0660,i_petro,e_i_petro,SEX_FLAGS_i,J0861_petro,e_J0861_petro,SEX_FLAGS_J0861,z_petro,e_z_petro,SEX_FLAGS_z,zml,odds
"iDR4_3_SPLUS-s23s18_0000301","SPLUS-s23s18",26.915097440305075,-30.273983500591182,2471.5146,922.5177,1.0087281,0.0086526275,44.35532,7.667105E-5,7.600007E-5,1.1602697,1.9698,24.04876,2.3816395,0,99.0,99.0,0,99.0,99.0,0,22.587244,1.774216,0,23.683016,4.5870934,0,25.161247,5.6171865,0,22.852606,1.726541,0,23.766161,1.7065927,0,23.461037,1.4429253,0,22.086916,0.5212601,0,22.211477,1.4757482,0,21.399391,0.53424484,0,0.74941665,0.12878515
"iDR4_3_SPLUS-s23s18_0000319","SPLUS-s23s18",26.945263493700455,-30.27305660084535,2300.9395,927.75903,1.1821245,0.15406543,57.205177,1.5034422E-4,1.2721165E-4,1.0337951,1.5135002,99.0,99.0,0,23.120726,2.0083477,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,23.918068,5.0786147,0,22.20631,0.44737822,0,22.20864,0.5017614,0,21.546938,0.34924796,0,20.611986,0.3740205,0,21.165997,0.4742963,0,0.77216667,0.20914857
"iDR4_3_SPLUS-s23s18_0000320","SPLUS-s23s18",26.92084886283352,-30.27330041395255,2438.9778,926.83545,1.9125763,0.47714508,-80.98868,2.839296E-4,1.4829579E-4,3.5956805,5.9984064,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,20.683084,0.4988577,0,22.504559,1.1314774,0,21.423582,0.46852013,0,20.330818,0.2198922,0,20.2089,0.4961731,0,19.452074,0.18903369,0,0.77675,0.13909438
"iDR4_3_SPLUS-s23s18_0000322","SPLUS-s23s18",26.9339471274619,-30.273052255445048,2364.9177,928.1029,1.9385853,0.48415995,69.426125,1.9726001E-4,1.0196355E-4,1.2921026,1.7854208,99.0,99.0,0,22.724468,1.560648,0,99.0,99.0,0,99.0,99.0,0,21.863155,1.0637441,0,99.0,99.0,0,22.020023,0.9933436,0,21.977812,0.40532604,0,21.747385,0.36709183,0,23.06802,1.5807967,0,99.0,99.0,0,22.607044,2.0003958,0,0.75233334,0.13476063
"iDR4_3_SPLUS-s23s18_0000362","SPLUS-s23s18",26.921889998157194,-30.271516154542162,2433.037,938.48816,1.5841125,0.36873168,-0.7252086,1.2092649E-4,7.634092E-5,1.2801595,2.0312603,22.520754,0.5447299,0,23.339624,2.0683231,0,99.0,99.0,0,23.228407,2.9817986,0,23.805555,4.796585,0,25.56908,7.647795,0,99.0,99.0,0,23.471024,1.2129195,0,25.611465,9.740787,0,22.377829,0.6368316,0,21.241978,0.56658137,0,21.129347,0.38957322,0,0.92025,0.2661109
"iDR4_3_SPLUS-s23s18_0000375","SPLUS-s23s18",26.932312174308237,-30.271095764876048,2374.1,940.95624,1.5622962,0.3599165,67.45638,1.803249E-4,1.1555923E-4,1.0769738,1.5129238,99.0,99.0,0,99.0,99.0,0,22.113432,1.2512431,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,22.497503,0.5322043,0,22.13708,0.4265045,0,21.307331,0.25518775,0,21.446743,0.73361176,0,20.63087,0.26425874,0,0.36233333,0.106783666
"iDR4_3_SPLUS-s23s18_0000427","SPLUS-s23s18",26.920134129714683,-30.268740323172896,2442.8796,956.70764,1.6340462,0.38802218,-78.32779,2.1247593E-4,1.2991569E-4,1.8356605,2.5453658,99.0,99.0,0,99.0,99.0,0,20.951742,0.5527853,0,99.0,99.0,0,22.872799,2.814485,0,22.742558,0.7845801,0,23.254381,3.2157862,0,22.767895,0.8820814,0,22.38887,0.692166,0,21.685007,0.46528363,0,20.454473,0.3789993,0,21.010998,0.483249,0,0.8255,0.26020205
"iDR4_3_SPLUS-s23s18_0000469","SPLUS-s23s18",26.929730755775925,-30.26762468863896,2388.587,963.75073,1.6208525,0.38304073,-65.593575,3.0993906E-4,1.9098764E-4,3.0080957,5.422168,21.53172,0.5389842,0,21.374727,0.8404974,0,20.240997,0.5134695,0,99.0,99.0,0,20.642033,0.6444297,0,23.438265,2.6549826,0,20.48322,0.44854796,0,20.864937,0.2734827,0,20.82496,0.2944276,0,21.577248,0.75202376,0,20.824068,0.9503269,0,20.329493,0.46057066,0,0.92841667,0.17775983
"iDR4_3_SPLUS-s23s18_0000506","SPLUS-s23s18",26.93418986032115,-30.265956578243124,2363.3235,974.5485,1.7210798,0.41896945,-15.260731,3.7441187E-4,2.1785688E-4,3.3680274,11.059643,20.966421,0.37854347,0,99.0,99.0,0,20.089592,0.52666855,0,21.115639,1.2411432,0,20.772041,0.8570002,0,23.880314,4.717293,0,20.379269,0.48008165,0,20.390776,0.20810568,0,20.411566,0.23692724,0,19.619223,0.14653616,0,19.174261,0.24627435,0,19.487005,0.2505655,0,0.5595833,0.16151702
"iDR4_3_SPLUS-s23s18_0000530","SPLUS-s23s18",26.925898208551363,-30.264531913950208,2410.1606,984.1023,1.3557014,0.26237446,-80.093254,1.4405734E-4,1.06216976E-4,1.2818015,1.8378495,26.111496,16.988913,0,24.953728,10.535609,0,99.0,99.0,0,99.0,99.0,0,21.360598,0.58598775,0,22.418633,0.48772237,0,22.978071,2.065389,0,22.144554,0.41517243,0,21.926056,0.37906212,0,22.18309,0.61468893,0,99.0,99.0,0,21.37835,0.5647469,0,0.5779167,0.08481834
"iDR4_3_SPLUS-s23s18_0000590","SPLUS-s23s18",26.951782853292798,-30.262274903879128,2263.7332,998.1576,1.4253879,0.29843652,-88.510445,2.1852028E-4,1.5329946E-4,1.6673886,3.4215271,22.162792,0.65849286,0,99.0,99.0,0,99.0,99.0,0,21.643124,1.1693612,0,23.415243,5.650248,0,22.207438,0.5870578,0,20.821665,0.41652277,0,21.356674,0.2934369,0,21.729412,0.46132806,0,20.92188,0.28146273,0,22.457832,2.9184113,0,21.506721,0.92910135,0,0.21741667,0.15326113
"iDR4_3_SPLUS-s23s18_0000644","SPLUS-s23s18",26.952701918295837,-30.2603915136457,2258.4756,1010.4611,1.0458969,0.043882847,-43.652603,7.7901575E-5,7.449141E-5,1.016699,2.219237,99.0,99.0,0,22.643858,0.7123586,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,23.58934,0.80853045,0,25.210459,9.145041,0,23.368061,0.72055626,0,23.794048,1.1993071,0,22.607822,0.5147807,0,99.0,99.0,0,22.576212,0.9630932,0,0.7435,0.116910525
"iDR4_3_SPLUS-s23s18_0000775","SPLUS-s23s18",26.94347171598182,-30.256645309931635,2310.5474,1035.247,2.8587823,0.6502007,57.40774,2.9585513E-4,1.03866434E-4,2.0851305,3.702135,22.045036,0.56938785,0,21.59625,0.6772449,0,99.0,99.0,0,21.565722,1.0481802,0,23.268892,4.731853,0,23.656107,2.1276944,0,21.470598,0.7242979,0,21.687845,0.3812414,0,22.077875,0.60989964,0,22.422003,1.069947,0,21.630156,1.3082963,0,20.742723,0.44141722,0,0.78491664,0.21344046
"iDR4_3_SPLUS-s23s18_0000850","SPLUS-s23s18",26.937742549666755,-30.255310965250718,2342.9011,1044.1422,1.8467082,0.45849591,-28.976564,5.0585135E-4,2.7441332E-4,3.997002,8.475858,23.03953,2.9919477,0,20.823002,0.7011658,0,20.241386,0.7110145,0,21.685036,2.4604802,0,20.179235,0.58486766,0,20.02241,0.15979928,0,19.885315,0.35681516,0,20.012434,0.17288433,0,19.578638,0.13002695,0,19.47874,0.15158132,0,19.380222,0.3500996,0,19.873526,0.42098624,0,0.1035,0.42163116
"iDR4_3_SPLUS-s23s18_0000894","SPLUS-s23s18",26.956065370254272,-30.254156152142027,2239.2546,1051.185,1.0758119,0.0704695,84.49021,3.0281008E-4,2.814947E-4,1.8203384,4.4095826,19.473196,0.056996725,0,18.971275,0.0644685,0,19.035482,0.11647958,0,18.694849,0.07861108,0,18.52528,0.06457712,0,18.384539,0.019700855,0,18.212475,0.040379107,0,17.968178,0.014712491,0,17.934145,0.016253825,0,17.86183,0.017805094,0,17.772223,0.039400388,0,17.821674,0.031188183,0,0.022666667,0.6096936
"iDR4_3_SPLUS-s24s18_0032729","SPLUS-s24s18",26.934401758388418,-30.226116784082027,4315.5107,9925.761,1.9119403,0.4769711,-37.146442,2.0505492E-4,1.0728699E-4,1.5393909,2.4679391,24.178051,1.72818,0,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,22.629286,1.1403748,0,23.539017,0.7791533,0,24.860748,6.7432656,0,23.287167,0.6674368,0,22.201561,0.28051957,0,21.801468,0.24575137,0,21.087038,0.27265906,0,21.466545,0.32107332,0,0.7211667,0.12461261
"iDR4_3_SPLUS-s24s18_0032736","SPLUS-s24s18",26.917599908457937,-30.217540428934313,4410.445,9982.072,1.5439013,0.3522902,-11.545362,1.990388E-4,1.2894877E-4,1.6650219,2.5956347,99.0,99.0,0,99.0,99.0,0,99.0,99.0,0,21.84536,1.2238638,0,22.071947,1.4359025,0,99.0,99.0,0,21.178143,0.4839934,0,21.81747,0.36439666,0,21.791555,0.4011439,0,21.167482,0.28729463,0,20.281359,0.27246776,0,22.056023,1.156094,0,0.79908335,0.16070288
"iDR4_3_SPLUS-s24s18_0032790","SPLUS-s24s18",26.92619202410522,-30.22963881701209,4361.9863,9902.788,1.7308997,0.42226577,0.59380174,1.0810809E-4,6.245249E-5,1.2220578,3.5007768,99.0,99.0,0,99.0,99.0,0,23.388811,3.0445945,0,99.0,99.0,0,23.888016,4.3153906,0,99.0,99.0,0,24.650236,6.6904364,0,22.428366,0.3655283,0,99.0,99.0,0,23.517012,1.4190633,0,99.0,99.0,0,99.0,99.0,0,0.81808335,0.097535625
"iDR4_3_SPLUS-s24s18_0032812","SPLUS-s24s18",26.927673674319017,-30.228428631053145,4353.5923,9910.695,1.9521512,0.48774457,-54.555695,1.861784E-4,9.53218E-5,1.7563106,3.0809681,23.990969,1.8682594,0,22.005215,0.5435733,0,99.0,99.0,0,21.919504,0.79373044,0,23.547873,3.3847857,0,23.401766,0.8735524,0,22.614897,1.0935001,0,23.208212,0.7908307,0,21.953194,0.28388366,0,22.296549,0.49046487,0,20.881838,0.2883072,0,21.766102,0.53825754,0,0.7215,0.15003821
"iDR4_3_SPLUS-s24s18_0043174","SPLUS-s24s18",26.91707491175592,-30.22202785052092,4413.4653,9952.701,1.1511946,0.1313371,-13.229485,2.0537175E-4,1.7840283E-4,1.8972032,4.016916,22.802263,1.250861,3,22.42287,1.5817024,3,22.893812,4.1144943,3,99.0,99.0,3,25.438234,38.511726,3,99.0,99.0,3,22.748144,2.4805493,3,21.375986,0.29339415,3,20.86358,0.20778441,3,20.2855,0.15514308,3,19.954098,0.24471097,3,20.102596,0.23273997,3,0.71891665,0.110886104
"iDR4_3_SPLUS-s24s18_0043940","SPLUS-s24s18",26.925348052306717,-30.224135654113212,4366.695,9938.822,1.6002488,0.37509722,-88.23601,6.760427E-4,4.2246404E-4,4.4536414,9.741559,20.658686,0.43734407,2,99.0,99.0,2,19.520483,0.46470502,2,20.047564,0.7081123,2,19.837374,0.55718213,2,18.912235,0.07077004,2,18.926647,0.185083,2,18.175001,0.039184272,2,18.157082,0.043528,2,17.852467,0.041455343,2,17.704779,0.07731515,2,17.770004,0.06812463,2,0.12258333,0.47902098
"iDR4_3_SPLUS-s24s18_0045013","SPLUS-s24s18",26.941013541984184,-30.22461307809123,4278.095,9935.534,1.1029012,0.09330046,-61.506863,3.4153316E-4,3.09642E-4,1.7479521,4.0099754,18.304377,0.021218112,0,17.894718,0.025716359,0,17.792236,0.037222493,0,17.431482,0.026533864,0,17.454247,0.025960868,0,17.209389,0.007967933,0,17.049412,0.015394017,0,16.859468,0.006144293,0,16.882055,0.00707782,0,16.769619,0.0068447394,0,16.781954,0.013371039,0,16.782276,0.01060256,0,0.022666667,0.89816785
"iDR4_3_SPLUS-s24s18_0045391","SPLUS-s24s18",26.914276017863635,-30.212929508332937,4429.1953,10012.289,1.2555937,0.20356399,32.1361,2.471229E-4,1.9678772E-4,2.2221713,3.6241221,22.419407,0.9212098,0,99.0,99.0,0,20.258377,0.3826982,0,20.801882,0.58871126,0,21.152151,0.7707023,0,22.01172,0.5033022,0,20.821285,0.43662965,0,21.157528,0.24848528,0,21.066755,0.2576694,0,20.714067,0.23670213,0,19.904186,0.24077375,0,20.972511,0.5334333,0,0.8214167,0.2271085
"iDR4_3_SPLUS-s24s18_0045421","SPLUS-s24s18",26.924008762947285,-30.214771209699766,4374.1606,10000.139,1.6535611,0.3952446,54.68297,1.7295966E-4,1.04639075E-4,2.5608253,6.0347285,99.0,99.0,2,99.0,99.0,2,22.283255,0.71244156,2,99.0,99.0,2,23.104635,1.3620747,2,99.0,99.0,2,22.178368,0.44573823,2,23.001627,0.39270914,2,23.86902,0.9794192,2,22.847952,0.4860258,2,21.68375,0.35825348,2,21.773384,0.32359567,2,0.7579167,0.116737835
"iDR4_3_SPLUS-s24s18_0045503","SPLUS-s24s18",26.930907305681266,-30.216621870243195,4335.16,9987.954,1.956167,0.48879623,54.80689,1.4077431E-4,7.200639E-5,1.7824119,3.2332294,99.0,99.0,0,22.066324,0.7319685,0,22.671135,2.1573987,0,99.0,99.0,0,21.28181,0.5393785,0,99.0,99.0,0,22.026094,0.8161462,0,21.989626,0.3297671,0,22.51237,0.6022861,0,21.955462,0.45771778,0,99.0,99.0,0,21.491173,0.53324366,0,0.7650833,0.12008203
"iDR4_3_SPLUS-s24s18_0045581","SPLUS-s24s18",26.918012599530364,-30.213539941985296,4408.0654,10008.258,1.2322581,0.18848169,-87.42616,2.2653783E-4,1.8384565E-4,2.4347408,5.4599233,23.417192,1.0070117,0,25.079868,8.268379,0,99.0,99.0,0,23.987894,4.8055267,0,22.640413,1.3152183,0,22.400354,0.31397703,0,21.842823,0.48753414,0,21.699263,0.17977616,0,22.774035,0.5380317,0,21.268534,0.17260183,0,21.455719,0.43528008,0,21.130692,0.26818338,0,0.8250833,0.16440375
