ObjID,GLXID,plate,MJD,fiberID,RA,DEC,z_gswl,chi2_sed,logM_stellar,e_logM_stellar,logSFR_sed,e_logSFR_sed,A_FUV,e_A_FUV,A_B,e_A_B,A_V,e_A_V,flag_sed,UV_survey,flag_uv,flag_midir,flag_mgs,group_id,ra,dec,z,group_L,stellar_mass,halo_mass1,halo_mass2,mean_separation_L,mean_separation_M,f_edge,ID1,ID2,Separation
1237650369413972127,6378973037899812670,337,51997,93,193.24351,-3.466793,0.1622,1.91,11.361,0.027,-0.796,0.805,1.574,0.595,0.242,0.091,0.163,0.061,0,1,0,0,1,64274,193.24352874,-3.46682242,0.1621694,10.8293,11.2891,13.3693,13.3974,17.8451,18.2882,1.0,-1,-1,0.12550737092824926
1237663237128192265,6377284173009257266,711,52202,98,49.673614,-1.084093,0.149,0.72,10.713,0.074,0.82,0.095,1.798,0.391,0.705,0.157,0.552,0.142,0,1,2,2,0,324788,49.67362065,-1.08412463,0.1489914,10.2787,10.4441,12.3959,12.1166,8.2908,6.7919,1.0,1,-1,0.11635652048911084
1237651503805825133,6378832256388039047,297,51959,161,201.76928,-0.494572,0.0751,0.6,11.075,0.03,-1.376,0.711,1.092,0.773,0.19,0.064,0.136,0.042,0,1,0,6,1,80219,201.76925362,-0.49455944,0.0751023,10.3705,10.8582,12.5576,12.7286,9.3322,10.6086,0.99,1,1,0.10517954047546321
1237650371018293348,-99,330,52370,549,178.83307,-2.211708,0.0765,0.36,10.533,0.022,-1.844,0.828,1.27,0.674,0.206,0.096,0.139,0.065,0,1,0,0,1,64975,178.83306549,-2.21171018,0.0765456,9.9649,10.3577,11.9261,12.0148,5.943,6.323,1.0,1,1,0.01802238045954453
1237664130480341155,-99,1748,53112,208,159.11625,12.564639,0.0948,2.3,10.625,0.023,-1.147,0.441,1.193,0.448,0.164,0.07,0.111,0.047,0,1,0,0,1,341282,159.11623549,12.56463563,0.0948411,9.9302,10.3882,11.8822,12.0497,5.7641,6.4787,1.0,-1,-1,0.0524085563934698
1237665369579126950,6374082449907909407,1981,53463,606,163.3157,31.280578,0.155,0.36,11.252,0.04,0.626,0.1,1.625,0.513,0.504,0.094,0.39,0.084,0,1,2,2,1,380640,163.31569746,31.28056718,0.1549552,10.5859,10.9427,12.9557,12.8711,12.6486,11.8344,1.0,-1,-1,0.03972819048437698
1237650795146379400,-99,266,51630,45,146.36033,-0.816657,0.1274,1.4,10.989,0.029,-0.867,0.872,1.45,0.645,0.232,0.099,0.158,0.069,0,1,0,0,1,67687,146.36033398,-0.81669031,0.1274091,10.4081,10.8483,12.6261,12.7118,9.8198,10.4742,1.0,1,1,0.12076877466760108
1237662236939190389,6378691506016878816,1804,53886,9,207.28642,8.771687,0.1343,0.53,11.297,0.032,0.687,0.116,1.693,0.305,0.624,0.14,0.497,0.128,0,1,3,7,1,290392,207.28643845,8.77168386,0.1342967,10.5762,10.8679,12.9379,12.745,12.4718,10.7403,1.0,1,1,0.06660932804825978
1237648722292375755,-99,270,51909,414,152.32435,0.768985,0.1239,1.65,11.088,0.069,-0.032,0.629,2.298,1.096,0.627,0.159,0.48,0.141,0,1,0,2,1,59906,152.32432324,0.76897544,0.1239391,10.3499,10.7726,12.5193,12.5894,9.0735,9.5546,1.0,1,1,0.10229083214388111
1237657775537652081,-99,861,52318,406,123.50793,32.439971,0.1673,0.82,11.309,0.023,-1.319,0.661,1.392,0.663,0.255,0.053,0.18,0.039,0,1,0,6,1,180444,123.50793015,32.43995954,0.1672812,10.8159,11.3072,13.3485,13.4226,17.5177,18.7091,0.665,-1,1,0.04125851707737999
1237668349752181025,6383511764990954126,2752,54533,120,228.07415,12.973902,0.1199,2.14,10.98,0.079,-0.41,0.714,2.633,1.438,0.646,0.139,0.49,0.119,0,1,0,7,1,457761,228.0741486,12.9738843,0.1198744,10.2295,10.6806,12.3175,12.4485,7.836,8.6129,1.0,1,-1,0.06390899524269125
1237668336863740508,6375700902035064081,2533,54585,346,247.66482,12.256485,0.0939,0.74,10.489,0.048,0.873,0.05,4.111,0.656,1.051,0.175,0.703,0.176,0,1,2,2,1,456254,247.66482748,12.25647428,0.0939029,9.8962,10.1445,11.8404,11.8133,5.5992,5.4951,1.0,-1,-1,0.0467095421491406
1237662695963558296,6387909901698468386,2169,53556,581,237.96857,23.385846,0.0908,0.9,10.61,0.034,0.074,0.084,1.245,0.441,0.312,0.096,0.232,0.085,0,1,2,2,1,321706,237.9685743,23.38585211,0.0908297,10.01,10.2611,11.9859,11.9123,6.1965,5.8861,1.0,-1,-1,0.026185902660640217
1237661068708806967,6377741597763699023,1741,53052,103,144.05463,10.760234,0.1173,0.35,11.063,0.031,0.176,0.19,1.825,0.504,0.458,0.12,0.344,0.109,0,1,3,6,1,232886,144.05465889,10.76023008,0.1173328,10.3257,10.6822,12.4763,12.451,8.7911,8.6285,1.0,1,-1,0.1031452448055655
1237664871365410950,-99,1956,53437,473,154.73758,31.318936,0.1472,0.99,10.956,0.034,-1.236,0.844,2.09,0.821,0.325,0.118,0.215,0.078,0,1,0,0,1,357589,154.73756362,31.31891218,0.1471998,10.3987,10.8402,12.6088,12.6983,9.6935,10.3672,1.0,1,1,0.09945404620848375
1237661069798998124,6378902642312087097,1765,53466,440,182.42587,14.998682,0.0998,0.51,10.938,0.041,-0.308,0.631,1.982,0.761,0.359,0.113,0.253,0.091,0,1,0,6,1,234909,182.42588897,14.99868391,0.0998386,10.2486,10.6594,12.347,12.4171,8.0028,8.4197,1.0,1,-1,0.0663228094866305
1237664132633198748,6379078538404826478,1754,53385,348,171.5094,15.295185,0.0785,0.37,10.438,0.07,0.747,0.113,3.15,0.376,0.8,0.194,0.553,0.155,0,1,3,2,1,342185,171.50938918,15.29517253,0.0785224,10.0834,10.3029,12.0876,11.9539,6.6543,6.0588,1.0,1,1,0.05854032621746919
1237661464919409079,6375489750703280022,1423,53167,277,249.94927,25.252335,0.0567,1.08,10.839,0.012,-1.845,0.558,1.412,0.385,0.19,0.037,0.123,0.025,0,1,2,1,1,254532,249.94925021,25.25233154,0.0567306,10.1906,10.6078,12.259,12.3412,7.5142,7.97,1.0,1,1,0.065628650128323
1237655497603219677,6382878482800578279,925,52411,281,232.31387,-2.535959,0.0943,1.61,10.855,0.056,-0.024,0.472,2.001,0.733,0.634,0.156,0.497,0.149,0,1,0,7,1,149011,232.31385567,-2.53596476,0.0942763,10.0738,10.5464,12.0737,12.2538,6.5899,7.4858,1.0,-1,-1,0.05555261693446191
1237663784750743688,6380908124677606107,407,51820,427,37.599374,0.579089,0.1498,0.04,11.252,0.071,0.555,0.278,2.889,0.716,1.081,0.179,0.862,0.173,0,1,2,7,1,334418,37.59939399,0.57908852,0.1497766,10.3144,10.7708,12.457,12.5865,8.6669,9.5346,1.0,1,1,0.07198106888560786
1237660343923245310,-99,1203,52669,174,116.34096,21.81019,0.13,0.31,10.874,0.029,-0.714,0.904,2.114,1.038,0.356,0.16,0.241,0.107,0,1,0,0,1,218583,116.34095727,21.81018703,0.1299979,10.3305,10.7783,12.4846,12.5985,8.8447,9.6187,1.0,1,1,0.014056156540189192
1237648702978326696,6379219290925567533,301,51942,8,210.47153,-1.149292,0.0685,0.13,10.586,0.027,0.254,0.077,1.291,0.213,0.379,0.094,0.282,0.08,0,1,3,7,1,52004,210.47154105,-1.14925731,0.0684935,10.1384,10.2387,12.1737,11.8912,7.0719,5.8,1.0,1,1,0.1310642027807312
1237660583366557978,6382702534098683384,1196,52733,133,143.2245,6.923204,0.107,0.06,10.42,0.045,0.324,0.1,1.461,0.42,0.441,0.141,0.331,0.123,0,1,2,1,1,220436,143.22447616,6.92321766,0.1070277,9.9069,10.0433,11.8535,11.7599,5.6498,5.2956,1.0,-1,-1,0.09837182548119891
1237662225164730608,6375489730304278660,1658,53240,433,245.58029,22.511694,0.1002,0.34,10.787,0.042,0.554,0.126,2.442,0.489,0.706,0.139,0.522,0.135,0,1,3,2,1,287794,245.58029384,22.51169164,0.1002302,10.174,10.4402,12.2306,12.1117,7.3635,6.7684,1.0,-1,-1,0.015338547074406794
1237667782299222055,6378726738707352029,2647,54495,183,188.24026,22.189126,0.1293,0.51,10.829,0.03,0.211,0.108,0.952,0.294,0.277,0.102,0.214,0.09,0,1,3,6,1,434190,188.24027092,22.18911294,0.1292885,10.1872,10.4559,12.2531,12.1317,7.4821,6.8647,1.0,-1,-1,0.059460164637550474
1237661950249467908,-99,1607,53083,355,173.00057,12.61522,0.1106,0.89,10.869,0.019,-1.528,0.773,1.413,0.554,0.237,0.075,0.161,0.053,0,1,0,0,1,269422,173.00055069,12.61520293,0.1105619,10.2255,10.6507,12.3116,12.4044,7.8029,8.3418,1.0,1,-1,0.09153313926889294
1237665225692414077,6374856506095960994,1991,53446,132,178.48136,31.431484,0.0768,5.97,10.887,0.029,-0.286,0.155,0.712,0.628,0.172,0.105,0.133,0.079,0,1,3,7,1,372714,178.48135791,31.43147633,0.0767545,10.2499,10.546,12.3489,12.2532,8.0138,7.4824,1.0,1,1,0.02834851757288555
1237661124543250581,6378445278760927995,1591,52976,107,136.96015,30.843091,0.1188,0.7,11.196,0.03,-1.06,0.772,1.119,0.542,0.181,0.057,0.125,0.037,0,1,0,1,1,237163,136.96016587,30.8430859,0.1188115,10.5749,11.006,12.9354,12.9752,12.4468,12.8468,1.0,1,1,0.052375532736988605
1237667736108597402,6382632217967858710,2376,53770,415,158.18724,21.034921,0.0871,0.4,10.688,0.029,0.459,0.084,1.215,0.171,0.366,0.105,0.274,0.096,0,1,3,2,1,429882,158.18726145,21.03491072,0.0870543,10.2333,10.3864,12.3232,12.0475,7.8681,6.4687,1.0,1,-1,0.08102026185650944
1237658491203616880,-99,1225,52760,207,175.459,8.749379,0.0663,0.14,10.894,0.023,-1.263,0.609,0.898,0.59,0.149,0.045,0.108,0.031,0,1,0,6,1,198033,175.45901563,8.74936908,0.0662798,10.1037,10.5316,12.1187,12.2325,6.8023,7.3738,1.0,1,1,0.06609218616329833
1237648705121550514,-99,296,51984,544,200.76262,0.58322,0.1088,0.95,10.74,0.041,-1.244,0.753,1.397,0.892,0.259,0.089,0.187,0.058,0,1,0,6,1,54799,200.762612,0.58323532,0.1087786,9.9792,10.431,11.9443,12.1007,6.0182,6.7152,1.0,-1,-1,0.06221814176124473
1237667322712817784,-99,2212,53789,190,166.37424,26.03114,0.1386,1.03,11.039,0.022,-0.97,0.677,1.024,0.626,0.183,0.043,0.134,0.032,0,1,0,6,1,412003,166.37420901,26.03113476,0.1385574,10.3523,10.8528,12.5236,12.7193,9.1019,10.5344,0.96,1,1,0.10200590393796762
1237658423013212350,6382667427036005030,996,52641,285,151.3761,5.672099,0.0444,0.83,11.104,0.025,0.14,0.234,2.595,0.506,0.611,0.128,0.447,0.13,0,1,3,7,1,194958,151.37608624,5.67204726,0.0443616,10.3117,10.7084,12.4527,12.4907,8.6395,8.8839,1.0,1,1,0.19267621383856887
1237651755085660318,6378937814873017549,518,52282,482,183.62291,3.369713,0.0832,0.19,10.629,0.045,0.185,0.186,3.017,0.816,0.653,0.142,0.46,0.135,0,1,2,2,1,92726,183.62289841,3.36971919,0.0831736,9.977,10.3475,11.9416,12.0034,6.0071,6.272,1.0,-1,-1,0.047238269958385946
