galaxy_id,NYU_id,z_source_id,ra,dec,z,r,r_limit,completeness,M_r,stellar_mass,g-r
345138,993838,-1,234.127850908,29.941243436,0.05748,17.7817001,17.7931004,0.8056,-18.4281673,9.4352913,0.5013428
72703,217213,-1,194.241080783,2.625246483,0.046997,17.1615009,17.7737999,0.8445,-18.5930767,9.4565611,0.4511375
332126,904423,-1,172.405391977,7.404792638,0.052287,17.7326012,17.7898006,0.9551,-18.2905827,9.1634216,0.3490601
264688,732604,-1,176.373381308,10.201637231,0.013342,16.5995998,17.8071995,0.8871,-16.3936176,8.4715672,0.3927059
257699,712744,-1,339.727697511,-0.240666559,0.058091,17.3625011,17.6912994,0.7612,-18.8864117,9.4524422,0.4047985
354842,1042918,-1,226.52688488,32.108304544,0.042991,16.9638004,17.7845001,0.8924,-18.6165714,9.3279905,0.3599548
361961,1100588,-1,196.152752989,15.407278347,0.042416,17.2469006,17.7908001,0.8431,-18.3284626,9.1206131,0.2992172
234149,652628,-1,144.483176514,8.179927294,0.020645,16.7744999,17.7907009,0.8608,-17.1363697,8.5986881,0.1795712
352584,1025822,-1,248.444781922,23.791682148,0.037258,17.3243008,17.7824001,0.9662,-17.9121513,9.2612848,0.6094475
70828,213096,-1,174.828269452,2.089598973,0.025577,16.0025997,17.7847004,0.811,-18.3799076,9.2747364,0.3699436
83223,240858,-1,8.951292849,-10.790061996,0.03725,16.6657009,17.8101006,0.8974,-18.605196,9.3053026,0.3474445
170429,455150,-1,324.151190542,0.479735267,0.053178,17.1473999,17.7793999,0.8443,-18.9041176,9.4858141,0.4518356
76452,225832,-1,236.320515808,2.381721704,0.039153,17.7279015,17.7859993,0.7942,-17.6042843,9.3099785,0.8361435
91939,261340,-1,330.983054198,12.468750331,0.026331,17.077301,17.7908993,0.8651,-17.3709431,9.1654024,0.7222614
281868,778748,-1,131.911390619,9.596781387,0.062035,17.716301,17.7929993,0.8737,-18.6744461,9.4028978,0.4374542
262049,727046,-1,160.696387663,8.59624695,0.046317,16.9132004,17.7938004,0.7241,-18.8622398,9.3227377,0.3293514
138567,372310,-1,169.655885026,3.764289756,0.039202,16.8036003,17.7830009,0.8704,-18.5688915,9.446619,0.5471668
282071,779149,-1,146.833141105,12.396459816,0.012556,16.7751999,17.7931004,0.8734,-16.005434,8.3737631,0.4369745
263139,729518,-1,168.137191578,8.656625484,0.039865,17.7607002,17.8034,0.8846,-17.6500263,9.0192881,0.4556446
281633,776873,-1,156.878810819,13.327765174,0.031769,17.7378006,17.7661991,0.8986,-17.1776619,8.7963486,0.4246445
325077,878873,-1,197.264208894,11.781779541,0.021529,17.5479012,17.7889996,0.8667,-16.489809,8.2620735,0.1228409
171876,462675,-1,320.188809489,1.162996198,0.035338,17.6068001,17.7994003,0.8652,-17.5328789,9.0287876,0.5526428
154750,409286,-1,259.507025978,29.061122809,0.028474,17.2581005,17.7865009,0.9512,-17.3885288,9.0373812,0.5921612
