group_id,ra,dec,z,group_L,stellar_mass,halo_mass1,halo_mass2,mean_separation_L,mean_separation_M,f_edge,ID1,ID2
106998,346.5798177,-10.35557799,0.1664667,10.6223,10.8468,13.0224,12.7091,13.3377,10.4526,0.975,-1,-1
241233,171.31434185,57.79515737,0.0784573,10.0628,10.4063,12.0579,12.0704,6.5167,6.5748,0.83,1,1
338264,114.31379164,47.33802145,0.1279901,10.3104,10.5021,12.4504,12.1919,8.6243,7.1631,1.0,1,-1
230340,150.86945872,9.35898333,0.0762449,9.9747,10.3855,11.9387,12.0466,5.9951,6.4649,1.0,1,1
66436,176.26220513,-2.8648658,0.0769386,10.3167,10.6904,12.4608,12.464,8.6915,8.7121,1.0,1,1
318643,213.31873032,35.95562748,0.1517516,10.3314,10.8079,12.486,12.6459,8.8537,9.9648,1.0,-1,-1
157033,352.06132495,14.85621949,0.0927977,9.8936,9.9783,11.8374,0.0,5.5877,0.0,1.0,-1,0
347406,154.47064303,33.91054229,0.1086438,10.4367,10.8632,12.6788,12.7368,10.2166,10.6748,1.0,1,1
100937,17.69152641,-8.84456767,0.1114897,10.1425,10.3517,12.1798,12.0082,7.1025,6.2936,1.0,-1,-1
180842,133.34787127,39.79775061,0.1150322,10.0831,10.2026,12.087,11.8589,6.6515,5.6714,1.0,-1,-1
220543,153.42937287,8.04743232,0.1646824,10.5094,11.0286,12.814,13.0114,11.3233,13.2205,1.0,-1,-1
100154,357.11767638,-9.32485318,0.1202458,10.0835,10.136,12.0876,11.8079,6.6545,5.4742,1.0,-1,-1
271100,230.25202057,9.59427757,0.0544099,9.7835,10.2193,11.7202,11.8734,5.1529,5.729,1.0,1,1
277720,199.08657759,8.31245922,0.0716386,10.0066,10.3259,11.981,11.9792,6.1755,6.1677,1.0,1,1
368269,192.53628367,34.52422228,0.074301,9.9548,10.1255,11.9132,11.8017,5.8897,5.4506,1.0,1,1
206110,153.08879791,51.03950618,0.0825629,9.8397,10.2522,11.7764,11.9038,5.3568,5.8508,1.0,-1,-1
70514,200.34946493,-0.54221381,0.0843116,10.3024,10.7233,12.4365,12.5122,8.5394,9.0258,1.0,1,1
375240,202.00202401,30.21471385,0.0566945,10.3916,10.579,12.596,12.2992,9.6008,7.7326,1.0,1,1
210490,216.26164298,55.13341976,0.1397552,10.2611,10.6428,12.3666,12.3929,8.1178,8.2731,1.0,1,-1
294625,215.94650412,8.28916238,0.1410199,10.5933,10.8109,12.9695,12.6507,12.7887,10.0002,1.0,1,1
124998,134.54037342,48.22088821,0.1201049,10.1311,10.5429,12.1616,12.2495,7.0113,7.4622,1.0,-1,-1
152124,256.86698024,36.10199446,0.1634791,10.5411,10.7313,12.8735,12.5241,11.8566,9.1053,1.0,-1,-1
473292,150.14139833,15.17394551,0.1548677,10.8561,11.3255,13.4091,13.4493,18.4824,19.1585,0.69,-1,1
213871,240.56929917,42.91691735,0.0244346,10.2021,10.4497,12.2775,12.1233,7.6146,6.8243,0.955,1,1
240632,227.95220711,41.67830886,0.1146433,10.2027,10.6076,12.2783,12.3407,7.6192,7.9674,1.0,1,-1
391273,234.9327508,21.34573085,0.1260743,10.5059,10.7569,12.8075,12.5639,11.2663,9.3761,0.76,1,1
253357,245.65543096,26.94636135,0.1117631,10.5648,10.9962,12.9166,12.9586,12.2625,12.6774,1.0,1,1
104497,318.29463496,11.22474562,0.0701246,9.8684,9.9729,11.8084,0.0,5.4761,0.0,0.9,1,0
